text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
r,6,Times-Roman,,1,1
p,10,Times-Roman,,1,1
A,14,Times-Roman,,1,1
,5,Times-Roman,,0,0
6,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
M,17,Times-Roman,,1,1
I,6,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"3
v
5
2
9
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Article,9,URWPalladioL-Ital,,7,7
Bivariate Inﬁnite Series Solution of Kepler’s Equations,17,URWPalladioL-Bold,,55,55
"Applied Physics Department, School of Aeronautic and Space Engineering, Universidade de Vigo, As Lagoas s/n,",8,URWPalladioL-Roma,,108,108
Daniele Tommasini,9,URWPalladioL-Bold,,17,17
"Ourense, 32004 Spain",8,URWPalladioL-Roma,,20,20
"Version April 8, 2021 submitted to Mathematics",8,URWPalladioL-Roma,,46,46
Abstract:,9,URWPalladioL-Bold,,9,9
"A class of bivariate inﬁnite series solutions of the elliptic and hyperbolic Kepler equations is
described, adding to the handful of 1-D series that have been found throughout the centuries. This result
is based on an iterative procedure for the analytical computation of all the higher-order partial derivatives",9,URWPalladioL-Roma,,312,109
of the eccentric anomaly with respect to the eccentricity,9,URWPalladioL-Roma,,57,57
e,9,URWPalladioL-Ital,,1,1
and mean anomaly,9,URWPalladioL-Roma,,16,16
M,9,URWPalladioL-Ital,,1,1
in a given base point,9,URWPalladioL-Roma,,21,21
(,10,CMR10,,1,1
e,9,URWPalladioL-Ital,,1,1
c,7,URWPalladioL-Ital,,1,1
