text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"Draft version May 27, 2021",7,CMCSC10,,26,26
Typeset using L,7,CMR8,,15,15
A,5,CMR6,,1,1
TEX,7,CMR8,,3,3
twocolumn,7,CMBX8,,9,9
style in AASTeX62,7,CMR8,,17,17
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
y,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
M,17,Times-Roman,,1,1
,5,Times-Roman,,0,0
"6
2",10,Times-Roman,,3,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"3
v
6
2
3
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1",10,Times-Roman,,5,1
2,10,Times-Roman,,1,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Star Formation in a Strongly Magnetized Cloud,9,CMR10,,45,45
"Yu Cheng,",8,CMCSC10,,9,9
1,5,CMCSC10,,1,1
"Jonathan C. Tan,",8,CMCSC10,,16,16
"1, 2",5,CMCSC10,,4,4
"Paola Caselli,",8,CMCSC10,,14,14
3,5,CMCSC10,,1,1
"Laura Fissel,",8,CMCSC10,,13,13
4,5,CMCSC10,,1,1
"H´ector G. Arce,",8,CMCSC10,,16,16
5,5,CMCSC10,,1,1
"Francesco Fontani,",8,CMCSC10,,18,18
"6, 7",5,CMCSC10,,4,4
"Matthew D. Goodson,",8,CMCSC10,,19,19
8,5,CMCSC10,,1,1
"Mengyao Liu,",8,CMCSC10,,12,12
1,5,CMCSC10,,1,1
and Nicholas Galitzki,8,CMCSC10,,21,21
9,5,CMCSC10,,1,1
1,5,CMR6,,1,1
"Dept. of Astronomy, University of Virginia, Charlottesville, Virginia 22904, USA",7,CMTI8,,80,80
2,5,CMR6,,1,1
"Dept. of Space, Earth & Environment, Chalmers University of Technology, Gothenburg, Sweden",7,CMTI8,,90,90
3,5,CMR6,,1,1
"Max-Planck-Institute for Extraterrestrial Physics (MPE), Giessenbachstr. 1, D-85748 Garching, Germany",7,CMTI8,,101,101
4,5,CMR6,,1,1
"Engineering Physics and Astronomy, Queen’s University, Kingston, ON K7L 3N6, Canada",7,CMTI8,,83,83
5,5,CMR6,,1,1
"Department of Astronomy, Yale University, New Haven, CT 06511, USA",7,CMTI8,,66,66
6,5,CMR6,,1,1
"INAF-Osservatorio Astroﬁsico di Arcetri, Largo E. Fermi 5, I-50125, Florence, Italy",7,CMTI8,,83,83
7,5,CMR6,,1,1
"Centre for Astrochemical Studies, Max-Planck-Institute for Extraterrestrial Physics, Giessenbachstrasse 1, D-85748 Garching, Germany",7,CMTI8,,132,132
8,5,CMR6,,1,1
"Dept. of Physics and Astronomy, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599-3255, USA",7,CMTI8,,108,108
9,5,CMR6,,1,1
"University of California San Diego, La Jolla, CA, United States",7,CMTI8,,63,63
(Received; Revised; Accepted),8,CMR9,,29,29
ABSTRACT,9,CMR10,,8,8
"We study star formation in the Center Ridge 1 (CR1) clump in the Vela C giant molecular cloud,
selected as a high column density region that shows the lowest level of dust continuum polarization
angle dispersion, likely indicating that the magnetic ﬁeld is relatively strong. We observe the source
with the ALMA 7m-array at 1.05 mm and 1.3 mm wavelengths, which enable measurements of dust
temperature, core mass and astrochemical deuteration. A relatively modest number of eleven dense
cores are identiﬁed via their dust continuum emission, with masses spanning from 0.17 to 6.7",9,CMR10,,579,102
M,9,CMMI10,,1,1
,6,CMSY7,,0,0
".
Overall CR1 has a relatively low compact dense gas fraction compared with other typical clouds with
similar column densities, which may be a result of the strong magnetic ﬁeld and/or the very early
evolutionary stage of this region. The deuteration ratios,",9,CMR10,,258,99
D,9,CMMI10,,1,1
frac,6,CMR7,,4,4
", of the cores, measured with N",9,CMR10,,31,31
2,6,CMR7,,1,1
H,9,CMR10,,1,1
+,6,CMR7,,1,1
"(3-
2) and N",9,CMR10,,12,8
2,6,CMR7,,1,1
D,9,CMR10,,1,1
+,6,CMR7,,1,1
"(3-2) lines, span from 0.011 to 0.85, with the latter being one of the highest values yet
detected. The level of deuteration appears to decrease with evolution from prestellar to protostellar
phase. A linear ﬁlament, running approximately parallel with the large scale magnetic ﬁeld orientation,
is seen connecting the two most massive cores, each having CO bipolar outﬂows aligned orthogonally
to the ﬁlament. The ﬁlament contains the most deuterated core, likely to be prestellar and located
midway between the protostars. The observations permit measurement of the full deuteration structure
of the ﬁlament along its length, which we present. We also discuss the kinematics and dynamics of
this structure, as well as of the dense core population.",9,CMR10,,749,103
1.,8,CMR9,,2,2
INTRODUCTION,9,CMR10,,12,12
"Star formation is a complicated process with many
open questions, including what sets its rate, overall eﬃ-
ciency, and resulting mass distribution of stars, i.e., the
stellar initial mass function (IMF). To help answer these
questions, detailed studies of star-forming regions that
can resolve individual self-gravitating cores are needed
and these regions should span as wide a range of en-
vironmental conditions as possible in order to explore
potential eﬀects of these conditions. With this goal in",9,CMR10,,503,59
"Corresponding author: Yu Cheng
ycheng.astro@gmail.com",7,CMR8,,53,30
"mind, we present here a study of a dense star-forming",9,CMR10,,53,53
"clump in the Vela C giant molecular cloud (GMC) that
has been selected to have a low angular dispersion in
sub-mm polarization position angles, which likely indi-
cates that it has relatively strong magnetic ﬁelds.",9,CMR10,,214,55
"The Vela molecular cloud complex is one of the near-
est giant molecular cloud complexes in the Galactic disk
(Murphy & May 1991). It is composed of four molecu-
lar clouds, of which Vela C is the most massive and the
host of the youngest stellar population (Yamaguchi et al.",9,CMR10,,275,57
"1999). Vela C is known to harbor low, intermediate and",9,CMR10,,54,54
"high-mass star formation (Massi et al. 2003; Netterﬁeld
et al. 2009) and hence is an ideal laboratory to study
diﬀerent modes of star formation. When contoured at",9,CMR10,,162,55
A,9,CMMI10,,1,1
V,6,CMMI7,,1,1
"= 7 mag, the Vela C cloud appears to segregate into",9,CMR10,,51,51
2,9,CMR10,,1,1
Cheng et al.,9,CMCSC10,,12,12
"ﬁve distinct sub regions (North, Centre-Ridge, Centre-
Nest, South-Ridge, and South-Nest), each with distinct
morphological characteristics (Hill et al. 2011). In the
Centre-Ridge sub region there is a compact HII region,
RCW36, which is adjacent to a very prominent dust
ridge that hosts the majority of dense cores in the cloud
(Hill et al. 2011). Owing to its proximity, i.e., at a dis-
tance of 933",9,CMR10,,402,59
±,9,CMSY10,,1,1
"94 pc (Fissel et al. 2019), Vela C has been
an important target for magnetic ﬁeld mapping stud-
ies through sub-mm polarimetry and near-infrared stel-
lar polarimetry (Fissel et al. 2016; Kusune et al. 2016;
Santos et al. 2017).
In particular, the relative orien-
tation between gas column density ﬁlamentary struc-
tures and the magnetic ﬁeld changes progressively with
increasing gas column density, from mostly parallel or
having no preferred orientation at low column densities
to mostly perpendicular at the highest column densities",9,CMR10,,537,56
