text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"High Spatial and Spectral Resolution Observations of the 
Forbidden 1.707",16,Arial-BoldMT,,73,57
µ,15,SymbolMT,,1,1
"m Rovibronic SO Emissions on Io: 
Evidence for Widespread Stealth Volcanism",16,Arial-BoldMT,,75,41
,16,Arial-BoldMT,,0,0
"Original version is published in: Planetary Science Journal, 1:29 
This version is updated with corrected figures.",12,ArialMT,,114,66
,12,TimesNewRomanPSMT,,0,0
Imke de Pater,11,Times-Roman,,13,13
"1,2",6,Times-Roman,,3,3
", Katherine de Kleer",11,Times-Roman,,20,20
3,6,Times-Roman,,1,1
", Máté Ádámkovics",11,Times-Roman,,17,17
4,6,Times-Roman,,1,1
". 

1.",11,Times-Roman,,6,2
,11,ArialMT,,0,0
"Astronomy Department, 501 Campbell Hall, University of California, Berkeley, CA 94720, USA. 
2.",11,Times-Roman,,95,92
,11,ArialMT,,0,0
"Faculty  of  Aerospace  Engineering,  Delft  University  of  Technology,  NL-2629  HS  Delft,  The",11,Times-Roman,,98,98
3.,11,Times-Roman,,2,2
,11,ArialMT,,0,0
"Division of Geological and Planetary Sciences, California Institute of Technology, 1200 East California",11,Times-Roman,,103,103
Netherlands.,11,Times-Roman,,12,12
"Boulevard, Pasadena, CA 91125, USA.",11,Times-Roman,,35,35
4.,11,Times-Roman,,2,2
,11,ArialMT,,0,0
"Lockheed Martin Advanced Technology Center, Palo Alto, CA, USA.",11,Times-Roman,,63,63
In memory of Donald Charles Backer,11,Times-Roman,,34,34
,12,Times-Roman,,0,0
Abstract,16,Times-Bold,,8,8
,12,Times-Roman,,0,0
We  present  observations  obtained  with  the  10-m  Keck  telescopes  of  the  forbidden  SO,11,Times-Roman,,94,94
a,11,TimesNewRomanPSMT,,1,1
1,6,TimesNewRomanPSMT,,1,1
D,11,SymbolMT,,1,1
,11,TimesNewRomanPSMT,,0,0
à,11,Wingdings-Regular,,1,1
X,11,TimesNewRomanPSMT,,1,1
3,6,TimesNewRomanPSMT,,1,1
S,11,SymbolMT,,1,1
-,6,TimesNewRomanPSMT,,1,1
,11,TimesNewRomanPSMT,,0,0
rovibronic transition,11,Times-Roman,,21,21
at,11,TimesNewRomanPSMT,,2,2
1.707,11,Times-Roman,,5,5
µ,11,SymbolMT,,1,1
"m on Io while in eclipse. We show its spatial distribution at a resolution of 
~0.12” and a spectral resolution of R ~2500, as well as disk-integrated spectra at a high spectral resolution 
(R~15,000).",11,Times-Roman,,201,110
"Both the spatial distribution and the spectral shape of the SO emission band vary considerably 
across Io and over time. In some cases the SO emissions either in the core or the wings of the emission 
band can be identified with volcanoes, but the largest areas of SO emissions usually do not coincide with 
known volcanoes. We suggest that the emissions are caused by a large number of stealth plumes, produced 
through the interaction of silicate melts with superheated SO",11,TimesNewRomanPSMT,,474,106
2,6,TimesNewRomanPSMT,,1,1
vapor at depth.,11,TimesNewRomanPSMT,,15,15
"The spectra, in particular the 
elevated wing of the emission band near 1.69",11,Times-Roman,,76,44
µ,11,SymbolMT,,1,1
"m, and their spatial distribution strongly suggest the presence 
of non-LTE processes in addition to the direct ejection of excited SO from the (stealth and other) volcanic 
vents.",11,Times-Roman,,180,108
,12,TimesNewRomanPSMT,,0,0
,12,Times-Roman,,0,0
Keywords:,11,Times-Bold,,9,9
"Galilean satellites, Planetary atmospheres, Near-infrared astronomical observations",11,Times-Roman,,83,83
,12,Times-Roman,,0,0
,12,Times-Bold,,0,0
,12,Calibri,,0,0
1,12,Calibri,,1,1
,12,TimesNewRomanPSMT,,0,0
1.,13,Times-Bold,,2,2
,13,Arial-BoldMT,,0,0
Introduction,13,Times-Bold,,12,12
forbidden  SO  1.707,11,Times-Roman,,20,20
µ,11,SymbolMT,,1,1
m,11,Times-Roman,,1,1
"Io’s 
rovibronic 
transition,",11,Times-Roman,,29,11
a,11,TimesNewRomanPSMT,,1,1
1,6,TimesNewRomanPSMT,,1,1
D,11,SymbolMT,,1,1
,11,TimesNewRomanPSMT,,0,0
à,11,Wingdings-Regular,,1,1
X,11,TimesNewRomanPSMT,,1,1
3,6,TimesNewRomanPSMT,,1,1
S,11,SymbolMT,,1,1
-,6,TimesNewRomanPSMT,,1,1
",",11,TimesNewRomanPSMT,,1,1
