text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
MNRAS,7,CMR8,,5,5
000,7,CMBX8,,3,3
", 1–16 (0000)",7,CMR8,,13,13
Preprint 6 January 2021,7,CMR8,,23,23
Compiled using MNRAS L,7,CMR8,,22,22
A,5,CMR6,,1,1
TEX style ﬁle v3.0,7,CMR8,,18,18
"Mass accretion rates and multi-scale halo environment in
cold and warm dark matter cosmologies",17,CMBX12,,94,56
Payaswinee Dhoke,14,CMR12,,16,16
1,9,CMR10,,1,1
,9,CMMI10,,0,0
", Aseem Paranjape",14,CMR12,,17,17
2,9,CMR10,,1,1
†,14,CMSY10,,1,1
1,5,CMR6,,1,1
"Dharampeth M. P. Deo Memorial Science College, North Ambazari Road, Nagpur 440033, India",7,CMTI8,,88,88
2,5,CMR6,,1,1
"Inter-University Centre for Astronomy & Astrophysics, Ganeshkhind, Post Bag 4, Pune 411007, India",7,CMTI8,,97,97
draft,7,CMR8,,5,5
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
4,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
8
9
1
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
ABSTRACT,8,CMBX9,,8,8
"We study the evolving environment dependence of mass accretion by dark haloes in
simulations of cold and warm dark matter (CDM and WDM) cosmologies. The latter
allows us to probe the nature of halo growth at scales below the WDM half-mode mass,
which form an extreme regime of nonlinear collisionless dynamics and oﬀer an excellent
test-bed for ideas relating to hierarchical growth. As environmental proxies, we use
the local halo-centric matter density",9,CMR10,,454,86
δ,9,CMMI10,,1,1
and tidal anisotropy,9,CMR10,,20,20
α,9,CMMI10,,1,1
", as well as large-scale",9,CMR10,,24,24
halo bias,9,CMR10,,9,9
b,9,CMMI10,,1,1
1,6,CMR7,,1,1
". Our analysis, while reproducing known trends for environment-dependent",9,CMR10,,72,72
"accretion in CDM, as well as the comparison between accretion in CDM and WDM,
reveals several interesting new features. As expected from excursion set models, WDM
haloes have higher speciﬁc accretion rates, dominated by the accretion of diﬀuse mass,
as compared to CDM haloes. For low-mass WDM haloes, we ﬁnd that the environment-
dependence of both diﬀuse mass accretion as well as accretion by mergers is almost
fully explained by",9,CMR10,,432,86
α,9,CMMI10,,1,1
". For the other cases,",9,CMR10,,22,22
δ,9,CMMI10,,1,1
"plays at least a comparable role. We detect,
for the ﬁrst time, a signiﬁcant and evolving assembly bias due to diﬀuse mass accretion
for low-mass CDM and WDM haloes (after excluding splashback objects), with a",9,CMR10,,209,87
z,9,CMMI10,,1,1
"= 0
strength higher than with almost all known secondary variables and largely explained
by",9,CMR10,,91,84
α,9,CMMI10,,1,1
". Our results place constraints on semi-analytical merger tree algorithms, which in
turn could aﬀect the predictions of galaxy evolution models based on them.",9,CMR10,,158,83
Key words:,9,CMBX10,,10,10
"cosmology: theory, dark matter, large-scale structure of the Universe –
methods: numerical",9,CMR10,,90,71
1 INTRODUCTION,8,CMBX9,,14,14
"The growth of gravitationally bound haloes of collisionless
cold dark matter (CDM) through accretion and mergers is
one of the primary physical processes of interest in the hi-
erarchical structure formation paradigm. The stochasticity",8,CMR9,,235,60
"inherent in the initial cosmological seed ﬂuctuations, coupled
with the nonlinearity of gravitational evolution of a colli-
sionless ﬂuid, renders this problem analytically challenging,
although considerable insights may be gained through simpli-
ﬁed models of structure formation (Bond et al. 1991; Lacey
& Cole 1993; Musso & Sheth 2014). Since dark haloes are
expected to be the cradles of",8,CMR9,,391,62
galaxy,8,CMTI9,,6,6
"formation and evolution
(White & Rees 1978), understanding the evolving nature of
halo mass accretion and its dependence on the local and
large-scale environment of haloes is expected to yield impor-
tant clues into corresponding correlations in the observed
distribution and evolution of galaxies in the Universe.",8,CMR9,,314,61
"The understanding that accretion rates in the late Uni-
verse are sensitive to the shape of the",8,CMR9,,95,55
initial,8,CMTI9,,7,7
power spectrum,8,CMR9,,14,14
,5,CMMI6,,0,0
E-mail: payas0906@gmail.com,7,CMR8,,27,27
†,7,CMSY8,,1,1
E-mail: aseem@iucaa.in,7,CMR8,,22,22
©,7,SFRM0800,,1,1
0000 The Authors,7,CMR8,,16,16
"(Lacey & Cole 1993, see also below) suggests a useful tool
for investigating the nature of mass accretion, in the form
of CDM-like power spectra which are suppressed at small
scales (large",8,CMR9,,188,59
k,8,CMMI9,,1,1
"), mimicking the eﬀects of a thermally pro-
duced warm dark matter (WDM) particle. The steep cut-oﬀ",8,CMR9,,99,55
in power in such models creates an extreme situation where,8,CMR9,,58,58
"haloes forming close to the corresponding mass scale experi-
ence dramatically enhanced growth, and haloes below this
scale simply do not exist (e.g., Angulo et al. 2013). Simu-
lations performed with WDM-like power spectra, therefore,
oﬀer ideal test-beds for the environment dependence of mass
accretion: any physical model that purports to explain the
nature of mass accretion in CDM must also do so for WDM,
since the physics of a self-gravitating collisionless ﬂuid is com-
mon to both (Hahn & Paranjape 2014). Of course, WDM
models are physically interesting in their own right, from the
point of view of small-scale challenges for the CDM frame-",8,CMR9,,652,66
"work (see Bullock & Boylan-Kolchin 2017, for a review),
although this is not the focus of the present work.",8,CMR9,,107,55
"There has been considerable work to date studying mass
accretion by haloes via mergers and smooth (or diﬀuse)
accretion (Fakhouri & Ma 2010; Genel et al. 2010; Benson",8,CMR9,,166,56
"et al. 2013; Elahi et al. 2014), as well as its dependence on halo",8,CMR9,,66,66
2,11,CMR12,,1,1
Dhoke & Paranjape,11,CMTI12,,17,17
