text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
Astronomy,9,NimbusRomNo9L-Regu-Slant_167,,9,9
&,9,rtxr-Slant_167,,1,1
Astrophysics,9,NimbusRomNo9L-Regu-Slant_167,,12,12
"manuscript no. G358-SOFIA
March 9, 2021",9,NimbusRomNo9L-Regu,,39,25
©,9,rtcxr,,1,1
ESO 2021,9,NimbusRomNo9L-Regu,,8,8
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
M,17,Times-Roman,,1,1
,5,Times-Roman,,0,0
8,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
R,13,Times-Roman,,1,1
S,11,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"2
v
2
1
8
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Infrared observations of the ﬂaring maser source G358.93,16,NimbusSanL-Bold,,56,56
−,17,txbsy,,1,1
0.03,16,NimbusSanL-Bold,,4,4
,11,rtxbmi,,0,0
SOFIA conﬁrms an accretion burst from a massive young stellar object,13,NimbusSanL-Bold,,68,68
B. Stecklum,10,NimbusRomNo9L-Regu,,11,11
1,7,NimbusRomNo9L-Regu,,1,1
", V. Wolf",10,NimbusRomNo9L-Regu,,9,9
1,7,NimbusRomNo9L-Regu,,1,1
", H. Linz",10,NimbusRomNo9L-Regu,,9,9
2,7,NimbusRomNo9L-Regu,,1,1
", A. Caratti o Garatti",10,NimbusRomNo9L-Regu,,22,22
3,7,NimbusRomNo9L-Regu,,1,1
", S. Schmidl",10,NimbusRomNo9L-Regu,,12,12
1,7,NimbusRomNo9L-Regu,,1,1
", S. Klose",10,NimbusRomNo9L-Regu,,10,10
1,7,NimbusRomNo9L-Regu,,1,1
", J. Eislö",10,NimbusRomNo9L-Regu,,10,10
ﬀ,10,rtxr,,1,1
el,10,NimbusRomNo9L-Regu,,2,2
1,7,NimbusRomNo9L-Regu,,1,1
", Ch. Fischer",10,NimbusRomNo9L-Regu,,13,13
4,7,NimbusRomNo9L-Regu,,1,1
", C. Brogan",10,NimbusRomNo9L-Regu,,11,11
5,7,NimbusRomNo9L-Regu,,1,1
",
R. Burns",10,NimbusRomNo9L-Regu,,10,8
