text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
5,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
P,11,Times-Roman,,1,1
A,14,Times-Roman,,1,1
.,5,Times-Roman,,1,1
h,10,Times-Roman,,1,1
t,5,Times-Roman,,1,1
a,8,Times-Roman,,1,1
m,15,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
6
9
6
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
"LINEAR STABILITY ANALYSIS OF THE HOMOGENEOUS COUETTE FLOW
IN A 2D ISENTROPIC COMPRESSIBLE FLUID",10,NimbusRomNo9L-Medi,,95,57
PAOLO ANTONELLI,8,NimbusRomNo9L-Regu,,15,15
*,5,NimbusRomNo9L-Regu,,1,1
", MICHELE DOLCE",8,NimbusRomNo9L-Regu,,15,15
"*,",5,NimbusRomNo9L-Regu,,2,2
†,5,CMSY6,,1,1
", AND PIERANGELO MARCATI",8,NimbusRomNo9L-Regu,,24,24
*,5,NimbusRomNo9L-Regu,,1,1
A,8,NimbusRomNo9L-Regu,,1,1
BSTRACT,7,NimbusRomNo9L-Regu,,7,7
". In this paper, we study the linear stability properties of perturbations around the
homogeneous Couette ﬂow for a 2D isentropic compressible ﬂuid in the domain",8,NimbusRomNo9L-Regu,,161,85
T,8,MSBM10,,1,1
×,8,CMSY9,,1,1
R,8,MSBM10,,1,1
.,8,NimbusRomNo9L-Regu,,1,1
"In the inviscid case there is a generic Lyapunov type instability for the density and the
irrotational component of the velocity ﬁeld. More precisely, we prove that their",8,NimbusRomNo9L-Regu,,170,89
L,8,CMMI9,,1,1
2,5,CMR6,,1,1
