text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
5,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
R,13,Times-Roman,,1,1
S,11,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
7
1
4
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
"Draft version January 6, 2021",7,CMCSC10,,29,29
Typeset using L,7,CMR8,,15,15
A,5,CMR6,,1,1
TEX default style in AASTeX63,7,CMR8,,29,29
Unresolved multiple stars and Galactic clusters’ mass estimates,9,CMBX10,,63,63
"Olga I. Borodina,",8,CMCSC10,,17,17
"1, 2",5,CMCSC10,,4,4
"Giovanni Carraro,",8,CMCSC10,,17,17
3,5,CMCSC10,,1,1
"Anton F. Seleznev,",8,CMCSC10,,18,18
4,5,CMCSC10,,1,1
and Vladimir M. Danilov,8,CMCSC10,,23,23
4,5,CMCSC10,,1,1
1,5,CMR6,,1,1
"Institute of Astronomy of the Russian Academy of Sciences
119017, 48 Pyatnitskaya st.
Moscow, Russia",7,CMTI8,,100,57
2,5,CMR6,,1,1
"Moscow Institute of Physics and Technology
141701, 9 Institutskiy per., Dolgoprudny,
Moscow Region, Russia",7,CMTI8,,106,42
3,5,CMR6,,1,1
"Dipartimento di Fisica e Astronomia, Universita’ di Padova
Vicolo Osservatorio 3
I35122, Padova, Italy",7,CMTI8,,102,58
4,5,CMR6,,1,1
