text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
y,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
M,17,Times-Roman,,1,1
,5,Times-Roman,,0,0
5,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
O,14,Times-Roman,,1,1
C,13,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"2
v
2
1
7
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
MNRAS,7,TeXGyreTermesX-Regular,,5,5
000,7,TeXGyreTermesX-Bold,,3,3
", 1–17 (2021)",7,TeXGyreTermesX-Regular,,13,13
Preprint 6 May 2021,7,TeXGyreTermesX-Regular,,19,19
Compiled using MNRAS L,7,TeXGyreTermesX-Regular,,22,22
A,6,TeXGyreTermesX-Regular,,1,1
TEX style ﬁle v3.0,7,TeXGyreTermesX-Regular,,18,18
"The impact of inhomogeneous subgrid clumping on cosmic reionization II:
modelling stochasticity",15,TeXGyreTermesX-Bold,,95,71
"Michele Bianco,",11,TeXGyreTermesX-Regular,,15,15
1,8,TeXGyreTermesX-Regular,,1,1
★,8,NewTXMI,,1,1
Ilian T. Iliev,11,TeXGyreTermesX-Regular,,14,14
1,8,TeXGyreTermesX-Regular,,1,1
", Kyungjin Ahn",11,TeXGyreTermesX-Regular,,14,14
2,8,TeXGyreTermesX-Regular,,1,1
", Sambit K. Giri",11,TeXGyreTermesX-Regular,,16,16
3,8,TeXGyreTermesX-Regular,,1,1
",",8,NewTXMI,,1,1
4,8,TeXGyreTermesX-Regular,,1,1
