text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
MNRAS,7,CMR8,,5,5
000,7,CMBX8,,3,3
", 000–000 (0000)",7,CMR8,,16,16
"Preprint March 31, 2021",7,CMR8,,23,23
Compiled using MNRAS L,7,CMR8,,22,22
A,5,CMR6,,1,1
TEX style ﬁle v3.0,7,CMR8,,18,18
"Statistical exploration of halo anisotropic clustering and
intrinsic alignments with the mass-Peak Patch algorithm",17,CMBX12,,114,58
Bruno Regaldo-Saint Blancard,14,CMR12,,28,28
1,9,CMR10,,1,1
", Sandrine Codis",14,CMR12,,16,16
2,9,CMR10,,1,1
",",9,CMMI10,,1,1
3,9,CMR10,,1,1
",",9,CMMI10,,1,1
4,9,CMR10,,1,1
,9,CMMI10,,0,0
", J. Richard Bond",14,CMR12,,17,17
5,9,CMR10,,1,1
", George
Stein",14,CMR12,,14,8
6,9,CMR10,,1,1
1,5,CMR6,,1,1
"Laboratoire de Physique de l’ENS, ENS, Universit´e PSL, CNRS, Sorbonne Universit´e, Universit´e de Paris, 75005 Paris, France",7,CMTI8,,125,125
2,5,CMR6,,1,1
"Institut d’Astrophysique de Paris, CNRS and Sorbonne Universit´e, UMR 7095, 98 bis Boulevard Arago, 75014 Paris, France",7,CMTI8,,119,119
3,5,CMR6,,1,1
"Institut de Physique Th´eorique, Universit´e Paris-Saclay, CNRS, CEA, 91191 Gif-sur-Yvette, France",7,CMTI8,,98,98
4,5,CMR6,,1,1
"AIM, CEA, CNRS, Universit´e Paris-Saclay, Universit´e Paris Diderot, Sorbonne Paris Cit´e, 91191 Gif-sur-Yvette, France",7,CMTI8,,119,119
5,5,CMR6,,1,1
"Canadian Institute for Theoretical Astrophysics, 60 St. George St, Toronto, Canada, ON M5S 3H8",7,CMTI8,,94,94
6,5,CMR6,,1,1
"Berkeley Center for Cosmological Physics, 341 Campbell Hall, University of California, Berkeley, CA 94720, USA",7,CMTI8,,110,110
"March 31, 2021",7,CMR8,,14,14
ABSTRACT,8,CMBX9,,8,8
"The anisotropy or triaxiality of massive dark matter haloes largely deﬁnes the structure
of the cosmic web, in particular the ﬁlaments that join the haloes together. Here we
investigate such oriented correlations in mass-Peak Patch halo catalogues by using the
initial strain tensor of spherical proto-halo regions to orient the haloes. To go beyond
the spherically averaged two-point correlation function of haloes we use oriented stacks
to compute oriented two-point correlations: we explicitly break isotropy by imposing a
local frame set by the strain tensor of the reference halo before stacking neighbouring
haloes. Beyond the exclusion zone of the reference halo, clustering is found to be
strongly enhanced along the major direction of the strain tensor as expected. This
anisotropic clustering of haloes along ﬁlaments is further quantiﬁed by using a spherical
harmonics decomposition. Furthermore, we compute the evolution of cluster-scale halo
principal directions relative to those of their neighbours and show that there are
strong correlations extending up to very large scales. In order to provide calculations
more suitable to observational confrontations, we also utilize 2D projected versions of
some equivalent correlation functions. Finally, we show that the multipole structure of
the mass-peak patch halo’s anisotropic clustering can be qualitatively captured in an
analytic treatment based on peak theory. Though highly informative, giving the same
qualitative features as the oriented correlations found from the simulation catalogue,
analytic evaluation involves extensive use of Monte Carlo methods, which is also what
the simulated catalogue uses, taking into account as they do the adaptive nature of
the mass-peak patch mass hierarchy and all non-local complexities associated with
the exclusion of smaller haloes overlapping with larger ones: there is no substitute",9,CMR10,,1895,89
"for the mass-Peak Patch simulation-based determination of oriented and anisotropic
correlations.",9,CMR10,,96,82
Key words:,9,CMBX10,,10,10
"cosmology: theory — large-scale structure of Universe — gravitational
lensing: weak",9,CMR10,,83,69
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
M,17,Times-Roman,,1,1
,5,Times-Roman,,0,0
"0
3",10,Times-Roman,,3,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
O,14,Times-Roman,,1,1
C,13,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"2
v
5
5
4
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1",10,Times-Roman,,5,1
2,10,Times-Roman,,1,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
1 INTRODUCTION,8,CMBX9,,14,14
"Investigating the distribution of matter at scales ranging
from a few megaparsecs to hundreds of megaparsecs has
been a very proliﬁc ﬁeld of Cosmology for the last ﬁfty years.",8,CMR9,,175,62
"From the ﬁrst theoretical works on superclustering and ob-
servations in the seventies through current large galaxy sur-
veys, our knowledge of large scale structures has grown enor-",8,CMR9,,182,61
"mously, with much more to come with the upcoming massive
galaxy surveys. The interconnectivity in the distribution of
matter on the largest scales is referred to as the",8,CMR9,,168,60
"Cosmic
Web",8,CMTI9,,10,6
(Klypin & Shandarin 1983; Bond et al. 1996; Pogosyan,8,CMR9,,52,52
"et al. 1998; van de Weygaert & Bond 2008), the natural non-
linear evolution of primordial density ﬂuctuations through
gravitational instability in an expanding universe, giving
rise to the galaxy clusters, ﬁlaments, sheets and bubble-
like cosmic voids that we see today. The present day large-",8,CMR9,,295,59
scale structure of the Universe was already imprinted in the,8,CMR9,,60,60
,5,CMMI6,,0,0
E-mail: codis@iap.fr,7,CMR8,,20,20
©,7,SFRM0800,,1,1
0000 The Authors,7,CMR8,,16,16
2,11,CMR12,,1,1
B. Regaldo-Saint Blancard et al.,11,CMTI12,,32,32
"anisotropies of the initial conditions: initial peaks (Bardeen
et al. 1986, hereafter BBKS) later form massive clusters at
the nodes of the cosmic web, correlation bridges in between
collapse to form ﬁlaments (Bond et al. 1996) surrounded by
walls and voids in this fully connected cosmic network.",8,CMR9,,297,62
