text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
Prepared for submission to JCAP,9,SFCC1000,,31,31
"Implications of current nuclear
cross sections on secondary cosmic
rays with the upcoming",24,SFSX2488,,89,34
DRAGON2,20,SFTT2074,,7,7
code,24,SFSX2488,,4,4
P. De La Torre Luque,14,SFSX1440,,20,20
"a,b",9,CMMI10,,3,3
M. N. Mazziotta,14,SFSX1440,,15,15
a,9,CMMI10,,1,1
F. Loparco,14,SFSX1440,,10,10
"a,b",9,CMMI10,,3,3
F. Gargano,14,SFSX1440,,10,10
a,9,CMMI10,,1,1
D. Serini,14,SFSX1440,,9,9
"a,b",9,CMMI10,,3,3
a,7,CMMI8,,1,1
"Istituto Nazionale di Fisica Nucleare, Sezione di Bari, via Orabona 4, I-70126 Bari, Italy",10,SFRM1095,,90,90
b,7,CMMI8,,1,1
"Dipartimento di Fisica “M. Merlin"" dell’Università e del Politecnico di Bari, via Amendola",10,SFRM1095,,90,90
"173, I-70126 Bari, Italy",10,SFRM1095,,24,24
"E-mail: pedro.delatorreluque@ba.infn.it, mazziotta@ba.infn.it",10,SFRM1095,,61,61
Abstract.,11,SFSX1200,,9,9
"Current measurements of cosmic-ray ﬂuxes have reached unprecedented accuracy
thanks to the new generation of experiments, and in particular the AMS-02 mission. At the
same time, signiﬁcant progress has been made in the propagation models of galactic cosmic
rays. These models include several propagation parameters, which are usually inferred from
the ratios of secondary to primary cosmic rays, and which depend on the cross sections
describing the collisions among the various species of cosmic-ray nuclei. At present, our
knowledge of these cross sections in the energy range where cosmic-ray interactions occur is
limited, and this is a source of uncertainties in the predicted ﬂuxes of secondary cosmic-ray
nuclei. In this work we study the impact of the cross section uncertainties on the ﬂuxes of light
secondary nuclei (Li, Be, B) using a preliminary version of the upcoming DRAGON2 code.
We ﬁrst present a detailed comparison of the secondary ﬂuxes computed by implementing
diﬀerent parameterizations for the network of spallation cross sections. Then, we discuss the
use of secondary-over-secondary cosmic-ray ﬂux ratios as a tool to improve the consistency of
cross sections parameterizations and give insight of the overall uncertainties coming from the
cross sections parametrisations. We show that the uncertainties inferred from the cross section",10,SFRM1095,,1361,97
"data are enough to explain the discrepancies in the Be and Li ﬂuxes with respect to the AMS-
02 data, with no need of a primary component in their spectra. In addition, we show that
the ﬂuxes of B, Be and Li can be simultaneously reproduced by rescaling their cross sections
within the experimental uncertainty. Finally, we also revisit the diﬀusive estimation of the
halo size, obtaining good agreement with previous works and a best ﬁt value of",10,SFRM1095,,446,92
6,10,CMR10,,1,1
.,10,CMMI10,,1,1
8,10,CMR10,,1,1
±,10,CMSY10,,1,1
1 kpc,10,CMR10,,5,5
from the most updated cross sections parametrisations.,10,SFRM1095,,54,54
Keywords:,11,SFSX1200,,9,9
"Cosmic rays, diﬀusion, propagation, spallation, cross sections, magnetic halo",10,SFRM1095,,77,77
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
r,6,Times-Roman,,1,1
p,10,Times-Roman,,1,1
A,14,Times-Roman,,1,1
7,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
E,12,Times-Roman,,1,1
H,14,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"4
v
7
4
5
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
