word,word_len,word_upper,word_lower,word_digits,line_symbolic_percent,line_space_percent,line_num_world,line_num_columns,line_front_spaces_perc,line_back_spaces
Density,7,0.14285714285714285,0.8571428571428571,0.0,0.358974358974359,0.641025641025641,7,1,0.4107142857142857,0.3035714285714286
profile,7,0.0,1.0,0.0,0.358974358974359,0.641025641025641,7,1,0.4107142857142857,0.3035714285714286
of,2,0.0,1.0,0.0,0.358974358974359,0.641025641025641,7,1,0.4107142857142857,0.3035714285714286
multi-state,11,0.0,0.9090909090909091,0.0,0.358974358974359,0.641025641025641,7,1,0.4107142857142857,0.3035714285714286
fuzzy,5,0.0,1.0,0.0,0.358974358974359,0.641025641025641,7,1,0.4107142857142857,0.3035714285714286
dark,4,0.0,1.0,0.0,0.358974358974359,0.641025641025641,7,1,0.4107142857142857,0.3035714285714286
matter,6,0.0,1.0,0.0,0.358974358974359,0.641025641025641,7,1,0.4107142857142857,0.3035714285714286
Lauren,6,0.16666666666666666,0.8333333333333334,0.0,0.3968253968253968,0.6031746031746033,7,1,0.4166666666666667,0.25
"Street,∗",8,0.125,0.625,0.0,0.3968253968253968,0.6031746031746033,7,1,0.4166666666666667,0.25
Peter,5,0.2,0.8,0.0,0.3968253968253968,0.6031746031746033,7,1,0.4166666666666667,0.25
"Suranyi,†",9,0.1111111111111111,0.6666666666666666,0.0,0.3968253968253968,0.6031746031746033,7,1,0.4166666666666667,0.25
and,3,0.0,1.0,0.0,0.3968253968253968,0.6031746031746033,7,1,0.4166666666666667,0.25
L.C.R.,6,0.5,0.0,0.0,0.3968253968253968,0.6031746031746033,7,1,0.4166666666666667,0.25
Wijewardhana‡,13,0.07692307692307693,0.8461538461538461,0.0,0.3968253968253968,0.6031746031746033,7,1,0.4166666666666667,0.25
Department,10,0.1,0.9,0.0,0.3333333333333333,0.6666666666666667,6,1,0.47023809523809523,0.25
of,2,0.0,1.0,0.0,0.3333333333333333,0.6666666666666667,6,1,0.47023809523809523,0.25
"Physics,",8,0.125,0.75,0.0,0.3333333333333333,0.6666666666666667,6,1,0.47023809523809523,0.25
University,10,0.1,0.9,0.0,0.3333333333333333,0.6666666666666667,6,1,0.47023809523809523,0.25
of,2,0.0,1.0,0.0,0.3333333333333333,0.6666666666666667,6,1,0.47023809523809523,0.25
Cincinnati,10,0.1,0.9,0.0,0.3333333333333333,0.6666666666666667,6,1,0.47023809523809523,0.25
(Dated:,7,0.14285714285714285,0.5714285714285714,0.0,0.18421052631578946,0.8157894736842105,4,1,0.5357142857142857,0.3214285714285714
January,7,0.14285714285714285,0.8571428571428571,0.0,0.18421052631578946,0.8157894736842105,4,1,0.5357142857142857,0.3214285714285714
"5,",2,0.0,0.0,0.5,0.18421052631578946,0.8157894736842105,4,1,0.5357142857142857,0.3214285714285714
2021),5,0.0,0.0,0.8,0.18421052631578946,0.8157894736842105,4,1,0.5357142857142857,0.3214285714285714
Equations,9,0.1111111111111111,0.8888888888888888,0.0,0.5483870967741935,0.4516129032258065,14,1,0.3392857142857143,0.07738095238095233
