word,word_len,word_upper,word_lower,word_digits,line_symbolic_percent,line_space_percent,line_num_world,line_num_columns,line_front_spaces_perc,line_back_spaces
MNRAS,5,1.0,0.0,0.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
"000,",4,0.0,0.0,0.75,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
000–000,7,0.0,0.0,0.8571428571428571,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
(0000),6,0.0,0.0,0.6666666666666666,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
Preprint,8,0.125,0.875,0.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
5,1,0.0,0.0,1.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
May,3,0.3333333333333333,0.6666666666666666,0.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
2021,4,0.0,0.0,1.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
Compiled,8,0.125,0.875,0.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
using,5,0.0,1.0,0.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
MNRAS,5,1.0,0.0,0.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
LATEX,5,1.0,0.0,0.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
style,5,0.0,1.0,0.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
file,4,0.0,1.0,0.0,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
v3.0,4,0.0,0.25,0.5,0.37,0.63,15,34,0.12010443864229765,0.4778067885117493
AT2017gfo:,10,0.2,0.3,0.4,0.5350877192982456,0.4649122807017544,8,1,0.12010443864229765,0.7023498694516972
Bayesian,8,0.125,0.875,0.0,0.5350877192982456,0.4649122807017544,8,1,0.12010443864229765,0.7023498694516972
inference,9,0.0,1.0,0.0,0.5350877192982456,0.4649122807017544,8,1,0.12010443864229765,0.7023498694516972
and,3,0.0,1.0,0.0,0.5350877192982456,0.4649122807017544,8,1,0.12010443864229765,0.7023498694516972
model,5,0.0,1.0,0.0,0.5350877192982456,0.4649122807017544,8,1,0.12010443864229765,0.7023498694516972
selection,9,0.0,1.0,0.0,0.5350877192982456,0.4649122807017544,8,1,0.12010443864229765,0.7023498694516972
of,2,0.0,1.0,0.0,0.5350877192982456,0.4649122807017544,8,1,0.12010443864229765,0.7023498694516972
multi-component,15,0.0,0.9333333333333333,0.0,0.5350877192982456,0.4649122807017544,8,1,0.12010443864229765,0.7023498694516972
kilonovae,9,0.0,1.0,0.0,0.4954128440366973,0.5045871559633027,10,1,0.12010443864229765,0.7154046997389034
and,3,0.0,1.0,0.0,0.4954128440366973,0.5045871559633027,10,1,0.12010443864229765,0.7154046997389034
constraints,11,0.0,1.0,0.0,0.4954128440366973,0.5045871559633027,10,1,0.12010443864229765,0.7154046997389034
on,2,0.0,1.0,0.0,0.4954128440366973,0.5045871559633027,10,1,0.12010443864229765,0.7154046997389034
the,3,0.0,1.0,0.0,0.4954128440366973,0.5045871559633027,10,1,0.12010443864229765,0.7154046997389034
neutron,7,0.0,1.0,0.0,0.4954128440366973,0.5045871559633027,10,1,0.12010443864229765,0.7154046997389034
star,4,0.0,1.0,0.0,0.4954128440366973,0.5045871559633027,10,1,0.12010443864229765,0.7154046997389034
equation,8,0.0,1.0,0.0,0.4954128440366973,0.5045871559633027,10,1,0.12010443864229765,0.7154046997389034
of,2,0.0,1.0,0.0,0.4954128440366973,0.5045871559633027,10,1,0.12010443864229765,0.7154046997389034
state,5,0.0,1.0,0.0,0.4954128440366973,0.5045871559633027,10,1,0.12010443864229765,0.7154046997389034
Matteo,6,0.16666666666666666,0.8333333333333334,0.0,0.5433070866141733,0.45669291338582674,13,1,0.12010443864229765,0.6684073107049608
Breschi1,8,0.125,0.75,0.125,0.5433070866141733,0.45669291338582674,13,1,0.12010443864229765,0.6684073107049608
