text,space_num,symbolic_percent,space_percent,num_world,num_columns,front_spaces_perc,back_spaces
"                                               MNRAS 000, 1–10 (2020)                                             Preprint 18th February 2021                 Compiled using MNRAS LATEX style file v3.0",47.0,0.395,0.605,15.0,31.0,0.22815533980582525,0.029126213592232997
"                                               Observations of a radio-bright, X-ray obscured GRS 1915+105",47.0,0.49056603773584906,0.5094339622641509,8.0,1.0,0.22815533980582525,0.4854368932038835
"                                               Motta, S. E.1,2 , Kajava, J. J. E.3,4 , Giustini, M.4 , Williams, D. R. A.2,5 , Del Santo, M.6 , Fender, R.2,7 ,",47.0,0.559748427672956,0.44025157232704404,24.0,1.0,0.22815533980582525,0.22815533980582525
"                                               Green, D. A.8 , Heywood, I.2,9,10 , Rhodes, L.2 , Segreto, A.6 , Sivakoff, G.11 , Woudt, P.A.7",47.0,0.5460992907801419,0.45390070921985815,18.0,1.0,0.22815533980582525,0.31553398058252424
"                                               1 IstitutoNazionale di Astrofisica, Osservatorio Astronomico di Brera, via E. Bianchi 46, 23807 Merate (LC), Italy",47.0,0.6149068322981367,0.3850931677018633,16.0,1.0,0.22815533980582525,0.2184466019417476
"                                               2 University of Oxford, Department of Physics, Astrophysics, Denys Wilkinson Building, Keble Road, OX1 3RH, Oxford, United Kingdom",47.0,0.6384180790960452,0.3615819209039548,18.0,1.0,0.22815533980582525,0.14077669902912626
"                                               3 Department of Physics and Astronomy, FI-20014 University of Turku, Finland",47.0,0.5365853658536586,0.46341463414634143,11.0,1.0,0.22815533980582525,0.40291262135922334
"                                               4 Centro de Astrobiología (CSIC-INTA), Camino Bajo del Castillo s/n, Villanueva de la Cañada, E-28692 Madrid, Spain",47.0,0.6111111111111112,0.38888888888888884,17.0,1.0,0.22815533980582525,0.21359223300970875
"                                               5 Jodrell Bank Centre for Astrophysics, School of Physics and Astronomy, The University of Manchester, Manchester, M13 9PL, UK",47.0,0.6242774566473989,0.37572254335260113,19.0,1.0,0.22815533980582525,0.1601941747572816
arXiv:2101.01187v2 [astro-ph.HE] 17 Feb 2021,0.0,0.9090909090909091,0.09090909090909094,5.0,1.0,0.0,0.7864077669902912
"                                               6 Istituto Nazionale di Astrofisica, IASF Palermo, Via U. La Malfa 153, 90146, Palermo, Italy",47.0,0.5642857142857143,0.4357142857142857,15.0,1.0,0.22815533980582525,0.3203883495145631
"                                               7 Department of Astronomy, University of Cape Town, Private Bag X3, Rondebosch 7701, South Africa",47.0,0.5763888888888888,0.42361111111111116,15.0,1.0,0.22815533980582525,0.30097087378640774
"                                               8 Astrophysics Group, Cavendish Laboratory, 19 J. J. Thomson Avenue, Cambridge CB3 0HE, UK",47.0,0.5620437956204379,0.43795620437956206,14.0,1.0,0.22815533980582525,0.3349514563106796
