text,space_num,symbolic_percent,space_percent,num_world,num_columns,front_spaces_perc,back_spaces
                                              Astronomy & Astrophysics manuscript no. CEMP                                                                                        ©ESO 2021,46.0,0.25133689839572193,0.7486631016042781,8.0,45.0,0.24083769633507854,0.020942408376963373
"                                              January 6, 2021",46.0,0.21311475409836064,0.7868852459016393,3.0,1.0,0.24083769633507854,0.6806282722513088
                                              Matter accretion in metal-poor stars down to extremely metal-poor,46.0,0.5135135135135135,0.4864864864864865,9.0,1.0,0.24083769633507854,0.418848167539267
                                                                 stars and the lithium problem,65.0,0.26595744680851063,0.7340425531914894,5.0,1.0,0.3403141361256545,0.5078534031413613
"                                                                                             M. Deal1 , O. Richard2 , and S Vauclair3, 4",93.0,0.25,0.75,10.0,1.0,0.4869109947643979,0.2879581151832461
                                                    1,52.0,0.018867924528301886,0.9811320754716981,1.0,1.0,0.27225130890052357,0.7225130890052356
"                                                        Instituto de Astrofísica e Ciências do Espaço, Universidade do Porto, CAUP, Rua das Estrelas, PT4150-762 Porto, Portugal",56.0,0.5909090909090909,0.40909090909090906,17.0,1.0,0.2931937172774869,0.07853403141361259
                                                    2,52.0,0.018867924528301886,0.9811320754716981,1.0,1.0,0.27225130890052357,0.7225130890052356
"                                                        Laboratoire Univers et Particules de Montpellier, Université de Montpellier, CNRS, Place Eugène Bataillon, 34095 Montpellier,",56.0,0.6132596685082873,0.3867403314917127,15.0,1.0,0.2931937172774869,0.05235602094240843
                                                        France,56.0,0.0967741935483871,0.9032258064516129,1.0,1.0,0.2931937172774869,0.675392670157068
                                                    3,52.0,0.018867924528301886,0.9811320754716981,1.0,1.0,0.27225130890052357,0.7225130890052356
"                                                        Université de Toulouse; UPS-OMP; IRAP; Toulouse, France",56.0,0.44144144144144143,0.5585585585585586,7.0,1.0,0.2931937172774869,0.418848167539267
                                                    4,52.0,0.018867924528301886,0.9811320754716981,1.0,1.0,0.27225130890052357,0.7225130890052356
"                                                        CNRS; IRAP; 14 av. Edouard Belin, F-31400 Toulouse, France",56.0,0.43859649122807015,0.5614035087719298,9.0,1.0,0.2931937172774869,0.40314136125654454
"                                                   January 6, 2021",51.0,0.19696969696969696,0.803030303030303,3.0,1.0,0.2670157068062827,0.6544502617801047
arXiv:2101.01522v1 [astro-ph.SR] 5 Jan 2021,0.0,0.9069767441860465,0.09302325581395354,5.0,1.0,0.0,0.774869109947644
                                                                                                                ABSTRACT,112.0,0.06666666666666667,0.9333333333333333,1.0,1.0,0.5863874345549738,0.3717277486910995
                                                   Context. The formation and evolution of light elements in the Universe act as important cosmological constraints. It has long been,51.0,0.6132596685082873,0.3867403314917127,20.0,1.0,0.2670157068062827,0.05235602094240843
"                                                   assumed that the oldest stars of the Galaxy display the primordial lithium abundance in their outer layers, although studies of stellar",51.0,0.6182795698924731,0.3817204301075269,21.0,1.0,0.2670157068062827,0.02617801047120416
                                                   physics have proven that this abundance must have decreased with time. The primordial Li abundance deduced from the observations,51.0,0.6145251396648045,0.3854748603351955,19.0,1.0,0.2670157068062827,0.06282722513089001
"                                                   of the cosmic background is, indeed, larger than the maximum observed in these stars. Recent observations have given evidence of",51.0,0.6089385474860335,0.3910614525139665,20.0,1.0,0.2670157068062827,0.06282722513089001
"                                                   a large Li abundance dispersion in very metal-poor stars. Many of these stars are carbon-rich, that is, the so-called carbon-enhanced",51.0,0.6195652173913043,0.3804347826086957,20.0,1.0,0.2670157068062827,0.03664921465968585
                                                   metal-poor (CEMP) stars. A large number of them also present overabundances of s process elements (CEMP-s).,51.0,0.5822784810126582,0.4177215189873418,16.0,1.0,0.2670157068062827,0.17277486910994766
                                                   Aims. We address the general question of the observed abundances in metal-poor stars and we focus our study on the case of CEMP-s,51.0,0.5944444444444444,0.40555555555555556,23.0,1.0,0.2670157068062827,0.05759162303664922
"                                                   stars. We study how the accretion of the wind of stellar companions, especially asymptotic giant branch (AGB) stars, modifies the",51.0,0.6111111111111112,0.38888888888888884,20.0,1.0,0.2670157068062827,0.05759162303664922
