text,space_num,symbolic_percent,space_percent,num_world,num_columns,front_spaces_perc,back_spaces
                                              Astronomy & Astrophysics manuscript no. aanda                                                                                         ©ESO 2021,46.0,0.25396825396825395,0.746031746031746,8.0,45.0,0.23711340206185566,0.02577319587628868
"                                              January 6, 2021",46.0,0.21311475409836064,0.7868852459016393,3.0,1.0,0.23711340206185566,0.6855670103092784
                                               Host galaxy and orientation differences between different types of,47.0,0.5132743362831859,0.48672566371681414,9.0,1.0,0.2422680412371134,0.41752577319587625
                                                                              AGN,78.0,0.037037037037037035,0.962962962962963,1.0,1.0,0.4020618556701031,0.5824742268041236
"                                                                       Anamaria Gkini1, 3 , Manolis Plionis3, 2 , Maria Chira2, 3 and Elias Koulouridis3",71.0,0.4473684210526316,0.5526315789473684,14.0,1.0,0.36597938144329895,0.21649484536082475
                                                    1,52.0,0.018867924528301886,0.9811320754716981,1.0,1.0,0.26804123711340205,0.7268041237113403
"                                                        Department of Astrophysics, Astronomy & Mechanics, Faculty of Physics, National and Kapodistrian University of Athens,",56.0,0.5977011494252874,0.4022988505747126,15.0,1.0,0.28865979381443296,0.1030927835051546
"                                                        Panepistimiopolis Zografou, 15784, Greece",56.0,0.3917525773195876,0.6082474226804124,4.0,1.0,0.28865979381443296,0.5
                                                    2,52.0,0.018867924528301886,0.9811320754716981,1.0,1.0,0.26804123711340205,0.7268041237113403
"                                                        Department of Physics, Aristotle University of Thessaloniki, Thessaloniki 54124, Greece",56.0,0.5454545454545454,0.4545454545454546,10.0,1.0,0.28865979381443296,0.2628865979381443
                                                    3,52.0,0.018867924528301886,0.9811320754716981,1.0,1.0,0.26804123711340205,0.7268041237113403
"                                                        Institute for Astronomy & Astrophysics, Space Applications & Remote Sensing, National Observatory of Athens, GR-15236 Palaia",56.0,0.6055555555555555,0.3944444444444445,16.0,1.0,0.28865979381443296,0.07216494845360821
"                                                        Penteli, Greece",56.0,0.19718309859154928,0.8028169014084507,2.0,1.0,0.28865979381443296,0.634020618556701
"                                                   January 6, 2021",51.0,0.19696969696969696,0.803030303030303,3.0,1.0,0.26288659793814434,0.6597938144329897
arXiv:2101.01481v1 [astro-ph.GA] 5 Jan 2021,0.0,0.9069767441860465,0.09302325581395354,5.0,1.0,0.0,0.7783505154639175
                                                                                                                 ABSTRACT,113.0,0.06611570247933884,0.9338842975206612,1.0,1.0,0.5824742268041238,0.37628865979381443
                                                   Aims. The main purpose of this study is to investigate aspects regarding the validity of the AGN unification paradigm (UP). In,51.0,0.5988700564971752,0.4011299435028248,21.0,1.0,0.26288659793814434,0.08762886597938147
"                                                   particular we focus on the AGN host galaxies, which according to the UP should show no systematic differences depending on the",51.0,0.5988700564971752,0.4011299435028248,21.0,1.0,0.26288659793814434,0.08762886597938147
                                                   AGN classification.,51.0,0.2571428571428571,0.7428571428571429,2.0,1.0,0.26288659793814434,0.6391752577319587
