text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
3,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
h,10,Times-Roman,,1,1
t,5,Times-Roman,,1,1
-,6,Times-Roman,,1,1
p,10,Times-Roman,,1,1
e,8,Times-Roman,,1,1
h,10,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
8
3
6
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
"Rejuvenating the hope of a swampland consistent inﬂated multiverse with tachyonic
inﬂation in the high energy RS-II Braneworld",11,CMBX12,,126,81
Oem Trivedi,9,CMR10,,11,11
∗,6,CMSY7,,1,1
"School of Arts and Sciences, Ahmedabad University,Ahmedabad 380009,India",8,CMTI9,,72,72
"(Dated: January 5, 2021)",8,CMR9,,24,24
