text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"Spherical inhomogeneous solutions of Einstein and
scalar-tensor gravity: a map of the land",14,CMR12,,90,49
Valerio Faraoni,10,CMR10,,15,15
"a,",7,CMR8,,2,2
∗,7,CMSY8,,1,1
", Andrea Giusti",10,CMR10,,15,15
"a,b",7,CMR8,,3,3
", Bardia H. Fahim",10,CMR10,,17,17
a,7,CMR8,,1,1
a,5,CMTI7,,1,1
"Department of Physics & Astronomy, Bishop’s University, 2600 College St.,
Sherbrooke, Qu´ebec, Canada J1M 1Z7",8,CMTI9,,109,73
b,5,CMTI7,,1,1
"Institute for Theoretical Physics, ETH Zurich, Wolfgang-Pauli-Strasse 27, 8093,
Zurich, Switzerland",8,CMTI9,,99,79
Abstract,10,CMBX10,,8,8
"We review spherical and inhomogeneous analytic solutions of the ﬁeld equa-
tions of Einstein and of scalar-tensor gravity, including Brans-Dicke theory,
non-minimally (possibly conformally) coupled scalar ﬁelds, Horndeski, and
beyond Horndeski/DHOST gravity. The zoo includes both static and dy-
namic solutions, asymptotically ﬂat, and asymptotically Friedmann-Lemaˆıtre-
Robertson-Walker ones. We minimize overlap with existing books and re-
views and we place emphasis on scalar ﬁeld spacetimes and on geometries
that are “general” within certain classes. Relations between various solu-
tions, which have largely emerged during the last decade, are pointed out.",10,CMR10,,665,77
Keywords:,10,CMTI10,,9,9
"Exact solution, spherical symmetry, variable order, general
relativity, scalar-tensor gravity",10,CMR10,,93,59
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
r,6,Times-Roman,,1,1
p,10,Times-Roman,,1,1
A,14,Times-Roman,,1,1
,5,Times-Roman,,0,0
"7
2",10,Times-Roman,,3,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
c,8,Times-Roman,,1,1
q,10,Times-Roman,,1,1
"-
r",6,Times-Roman,,3,1
g,10,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"2
v
6
6
2
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
