text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
4,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
M,17,Times-Roman,,1,1
I,6,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
8
1
9
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
MNRAS,7,NimbusRomNo9L-Regu,,5,5
000,7,NimbusRomNo9L-Medi,,3,3
", 1–14 (2018)",7,NimbusRomNo9L-Regu,,13,13
"Preprint January 5, 2021",7,NimbusRomNo9L-Regu,,24,24
Compiled using MNRAS L,7,NimbusRomNo9L-Regu,,22,22
A,5,NimbusRomNo9L-Regu,,1,1
TEX style ﬁle v3.0,7,NimbusRomNo9L-Regu,,18,18
"New Insights into Time Series Analysis IV:
Panchromatic and Flux Independent Period Finding Methods",17,NimbusRomNo9L-Medi,,99,56
C. E. Ferreira Lopes,14,NimbusRomNo9L-Regu,,20,20
1,10,NimbusRomNo9L-Regu,,1,1
∗,14,txsy,,1,1
", N. J. G. Cross",14,NimbusRomNo9L-Regu,,16,16
2,10,NimbusRomNo9L-Regu,,1,1
", F. Jablonski",14,NimbusRomNo9L-Regu,,14,14
1,10,NimbusRomNo9L-Regu,,1,1
1,5,NimbusRomNo9L-Regu,,1,1
National Institute For Space Research (INPE,7,NimbusRomNo9L-ReguItal,,43,43
/,7,rtxi,,1,1
