text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
Astronomy,9,NimbusRomNo9L-Regu-Slant_167,,9,9
&,9,rtxr-Slant_167,,1,1
Astrophysics,9,NimbusRomNo9L-Regu-Slant_167,,12,12
"manuscript no. Vorobyov
January 6, 2021",9,NimbusRomNo9L-Regu,,39,23
©,9,rtcxr,,1,1
ESO 2021,9,NimbusRomNo9L-Regu,,8,8
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
5,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
R,13,Times-Roman,,1,1
S,11,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
6
9
5
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
"Distinguishing between different mechanisms of FU-Orionis-type
luminosity outbursts",16,NimbusSanL-Bold,,83,62
Eduard I. Vorobyov,10,NimbusRomNo9L-Regu,,18,18
1,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
2,7,NimbusRomNo9L-Regu,,1,1
", Vardan G. Elbakyan",10,NimbusRomNo9L-Regu,,20,20
2,7,NimbusRomNo9L-Regu,,1,1
", Hauyu Baobab Liu",10,NimbusRomNo9L-Regu,,18,18
3,7,NimbusRomNo9L-Regu,,1,1
", and Michihiro Takami",10,NimbusRomNo9L-Regu,,22,22
3,7,NimbusRomNo9L-Regu,,1,1
1,5,NimbusRomNo9L-Regu,,1,1
"University of Vienna, Department of Astrophysics, Vienna, 1180, Austria e-mail:",8,NimbusRomNo9L-Regu,,79,79
eduard.vorobiev@univie.ac.at,8,t1xtt,,28,28
2,5,NimbusRomNo9L-Regu,,1,1
"Research Institute of Physics, Southern Federal University, Rostov-on-Don, 344090 Russia",8,NimbusRomNo9L-Regu,,88,88
3,5,NimbusRomNo9L-Regu,,1,1
"Institute of Astronomy and Astrophysics, Academia Sinica, 11F of Astronomy-Mathematics Building, No.1, Sec. 4, Roosevelt Rd,",8,NimbusRomNo9L-Regu,,124,124
"Taipei 10617, Taiwan, R.O.C.",8,NimbusRomNo9L-Regu,,28,28
