text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
Astronomy,9,NimbusRomNo9L-Regu-Slant_167,,9,9
&,9,rtxr-Slant_167,,1,1
Astrophysics,9,NimbusRomNo9L-Regu-Slant_167,,12,12
"manuscript no. Gaia_OB_stars
January 5, 2021",9,NimbusRomNo9L-Regu,,44,28
©,9,rtcxr,,1,1
ESO 2021,9,NimbusRomNo9L-Regu,,8,8
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
1,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
8
5
1
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Local spiral structure based on the,16,NimbusSanL-Bold,,35,35
Gaia,16,NimbusSanL-Bold-Slant_167,,4,4
EDR3 parallaxes,16,NimbusSanL-Bold,,15,15
Y. Xu,10,NimbusRomNo9L-Regu,,5,5
1,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
2,7,NimbusRomNo9L-Regu,,1,1
", L. G. Hou",10,NimbusRomNo9L-Regu,,11,11
3,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
5,7,NimbusRomNo9L-Regu,,1,1
", S. B. Bian",10,NimbusRomNo9L-Regu,,12,12
1,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
2,7,NimbusRomNo9L-Regu,,1,1
", C. J. Hao",10,NimbusRomNo9L-Regu,,11,11
1,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
2,7,NimbusRomNo9L-Regu,,1,1
", D. J. Liu",10,NimbusRomNo9L-Regu,,11,11
1,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
4,7,NimbusRomNo9L-Regu,,1,1
", J. J. Li",10,NimbusRomNo9L-Regu,,10,10
1,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
2,7,NimbusRomNo9L-Regu,,1,1
", Y. J. Li",10,NimbusRomNo9L-Regu,,10,10
1,7,NimbusRomNo9L-Regu,,1,1
