text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"0
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
"c
e",8,Times-Roman,,3,1
D,14,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
3",10,Times-Roman,,3,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
2
3
0
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
MNRAS,7,TeXGyreTermesX-Regular,,5,5
000,7,TeXGyreTermesX-Bold,,3,3
", 1–19 (2019)",7,TeXGyreTermesX-Regular,,13,13
"Preprint January 5, 2021",7,TeXGyreTermesX-Regular,,24,24
Compiled using MNRAS L,7,TeXGyreTermesX-Regular,,22,22
A,6,TeXGyreTermesX-Regular,,1,1
TEX style ﬁle v3.0,7,TeXGyreTermesX-Regular,,18,18
Physical conditions and redshift evolution of optically thin C,17,TeXGyreTermesX-Bold,,62,62
iii,17,TeXGyreTermesX-Regular,,3,3
absorbers: Low,17,TeXGyreTermesX-Bold,,14,14
−,17,txsys,,1,1
𝑧,17,NewTXMI,,1,1
sample,17,TeXGyreTermesX-Bold,,6,6
A,14,TeXGyreTermesX-Regular,,1,1
bhisek Mohapatra,14,TeXGyreTermesX-Regular,,16,16
1,10,TeXGyreTermesX-Regular,,1,1
∗,14,txsys,,1,1
", R. Srianand",14,TeXGyreTermesX-Regular,,13,13
2,10,TeXGyreTermesX-Regular,,1,1
", Ananta C. Pradhan",14,TeXGyreTermesX-Regular,,19,19
1,10,TeXGyreTermesX-Regular,,1,1
1,6,TeXGyreTermesX-Regular,,1,1
"Department of Physics and Astronomy, National Institute of Technology, Rourkela, Odisha 769 008, India",7,TeXGyreTermesX-Italic,,102,102
2,6,TeXGyreTermesX-Regular,,1,1
"Inter-University Centre for Astronomy & Astrophysics, Postbag 4, Ganeshkhind, Pune 411 007, India",7,TeXGyreTermesX-Italic,,97,97
Accepted . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Received . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ; in original form . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,7,TeXGyreTermesX-Regular,,254,254
ABSTRACT,8,TeXGyreTermesX-Bold,,8,8
We present a,9,TeXGyreTermesX-Regular,,12,12
detailed analysis of 99 optically thin C,9,TeXGyreTermesX-Regular,,40,40
iii,9,TeXGyreTermesX-Regular,,3,3
"absorption systems at redshift,",9,TeXGyreTermesX-Regular,,31,31
0,9,TeXGyreTermesX-Regular,,1,1
.,9,NewTXMI,,1,1
2,9,TeXGyreTermesX-Regular,,1,1
6,9,MSAM10,,1,1
𝑧,9,NewTXMI,,1,1
6,9,MSAM10,,1,1
0,9,TeXGyreTermesX-Regular,,1,1
.,9,NewTXMI,,1,1
9,9,TeXGyreTermesX-Regular,,1,1
"associated with neutral hydrogen column densities in the range,",9,TeXGyreTermesX-Regular,,63,63
15,9,TeXGyreTermesX-Regular,,2,2
6,9,MSAM10,,1,1
log,9,TeXGyreTermesX-Regular,,3,3
𝑁,9,NewTXMI,,1,1
(,9,txsys,,1,1
H,9,TeXGyreTermesX-Regular,,1,1
i,9,TeXGyreTermesX-Regular,,1,1
),9,txsys,,1,1
(cm,9,TeXGyreTermesX-Regular,,3,3
−,7,txsys,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
),9,TeXGyreTermesX-Regular,,1,1
6,9,MSAM10,,1,1
16,9,TeXGyreTermesX-Regular,,2,2
.,9,NewTXMI,,1,1
2,9,TeXGyreTermesX-Regular,,1,1
". Using photoionization models, we infer the number density (",9,TeXGyreTermesX-Regular,,61,61
𝑛,9,NewTXMI,,1,1
H,7,TeXGyreTermesX-Regular,,1,1
"), C-abundance",9,TeXGyreTermesX-Regular,,14,14
(,9,TeXGyreTermesX-Regular,,1,1
[,9,txsys,,1,1
𝐶,9,NewTXMI,,1,1
/,9,txsys,,1,1
𝐻,9,NewTXMI,,1,1
],9,txsys,,1,1
) and line-of-sight thickness (,9,TeXGyreTermesX-Regular,,31,31
𝐿,9,NewTXMI,,1,1
") of these systems in the ranges,",9,TeXGyreTermesX-Regular,,33,33
−,9,txsys,,1,1
3,9,TeXGyreTermesX-Regular,,1,1
.,9,NewTXMI,,1,1
4,9,TeXGyreTermesX-Regular,,1,1
6,9,MSAM10,,1,1
log,9,TeXGyreTermesX-Regular,,3,3
𝑛,9,NewTXMI,,1,1
H,7,TeXGyreTermesX-Regular,,1,1
"(in
cm",9,TeXGyreTermesX-Regular,,6,3
−,7,txsys,,1,1
3,7,TeXGyreTermesX-Regular,,1,1
),9,TeXGyreTermesX-Regular,,1,1
6,9,MSAM10,,1,1
−,9,txsys,,1,1
1,9,TeXGyreTermesX-Regular,,1,1
.,9,NewTXMI,,1,1
6,9,TeXGyreTermesX-Regular,,1,1
",",9,TeXGyreTermesX-Regular,,1,1
−,9,txsys,,1,1
1,9,TeXGyreTermesX-Regular,,1,1
.,9,NewTXMI,,1,1
6,9,TeXGyreTermesX-Regular,,1,1
6,9,MSAM10,,1,1
[,9,txsys,,1,1
𝐶,9,NewTXMI,,1,1
/,9,txsys,,1,1
𝐻,9,NewTXMI,,1,1
],9,txsys,,1,1
6,9,MSAM10,,1,1
0,9,TeXGyreTermesX-Regular,,1,1
.,9,NewTXMI,,1,1
4,9,TeXGyreTermesX-Regular,,1,1
", and 1.3 pc",9,TeXGyreTermesX-Regular,,12,12
6,9,MSAM10,,1,1
𝐿,9,NewTXMI,,1,1
6,9,MSAM10,,1,1
"10 kpc, respectively with most of
the systems having sub-kpc scale thickness. We combine the low",9,TeXGyreTermesX-Regular,,96,62
−,9,txsys,,1,1
𝑧,9,NewTXMI,,1,1
"and previously reported
high",9,TeXGyreTermesX-Regular,,28,23
−,9,txsys,,1,1
𝑧,9,NewTXMI,,1,1
(,9,TeXGyreTermesX-Regular,,1,1
2,9,TeXGyreTermesX-Regular,,1,1
.,9,NewTXMI,,1,1
1,9,TeXGyreTermesX-Regular,,1,1
6,9,MSAM10,,1,1
𝑧,9,NewTXMI,,1,1
6,9,MSAM10,,1,1
3,9,TeXGyreTermesX-Regular,,1,1
.,9,NewTXMI,,1,1
3,9,TeXGyreTermesX-Regular,,1,1
) optically thin C,9,TeXGyreTermesX-Regular,,18,18
iii,9,TeXGyreTermesX-Regular,,3,3
