text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
,12,TimesNewRomanPSMT,,0,0
,12,TimesNewRomanPSMT,,0,0
,12,TimesNewRomanPSMT,,0,0
Abstract,14,TimesNewRomanPS-BoldMT,,8,8
,12,TimesNewRomanPSMT,,0,0
,12,TimesNewRomanPSMT,,0,0
,12,TimesNewRomanPSMT,,0,0
,12,TimesNewRomanPSMT,,0,0
,12,TimesNewRomanPSMT,,0,0
,11,TimesNewRomanPSMT,,0,0
"Hybrid adaptive splines for luminous intensity data regression in I-
tables",15,TimesNewRomanPS-BoldMT,,75,68
L. Lipnický,12,TimesNewRomanPSMT,,11,11
1,8,TimesNewRomanPSMT,,1,1
", R. Dubni",12,TimesNewRomanPSMT,,10,10
č,12,TimesNewRomanPSMT,,1,1
ka,12,TimesNewRomanPSMT,,2,2
1,8,TimesNewRomanPSMT,,1,1
", J.",12,TimesNewRomanPSMT,,4,4
Petržala,12,TimesNewRomanPSMT,,8,8
2,8,TimesNewRomanPSMT,,1,1
and L. Kómar,12,TimesNewRomanPSMT,,12,12
"2,*",8,TimesNewRomanPSMT,,3,3
,12,TimesNewRomanPSMT,,0,0
1,8,TimesNewRomanPS-ItalicMT,,1,1
"Faculty of Electrical Engineering and Information Technology, Slovak University of",12,TimesNewRomanPS-ItalicMT,,82,82
"Technology, Ilkovi ova 3, Bratislava, Slovakia",12,TimesNewRomanPS-ItalicMT,,46,46
2,8,TimesNewRomanPS-ItalicMT,,1,1
"ICA, Slovak Academy of Sciences, Dúbravská cesta 9, Bratislava, Slovakia",12,TimesNewRomanPS-ItalicMT,,72,72
"* corresponding author: usarlako@savba.sk 

Preprint: 21.11.2020",12,TimesNewRomanPSMT,,64,42
"The I-table contains luminous intensity values over the range of angles for the luminaires used in 
the road lighting in accordance with technical report CIE 121:1996. A limited number of angles 
causes smoothing of the luminous intensity diagram omitting possible local extremal values which 
affect  the  calculations  of  the  photometric  parameters  such  as  average  illuminance,  average 
luminance,  uniformity  or  treshold  increment.  The  interpolating  methods  used  to  calculate  the 
luminous intensity can significantly improve the accuracy of the calculations and redound to more 
effective and reliable road lighting design. In the paper standard interpolation methods used up to 
now are compared with newly proposed hybrid adaptive splines. Calculated values of luminous 
intensity are compared and verified by goniophotometric measurements.",12,TimesNewRomanPSMT,,864,104
Keywords,12,TimesNewRomanPS-BoldMT,,8,8
": road lighting, luminous intensity, I-table, interpolation, adaptive regression",12,TimesNewRomanPSMT,,80,80
1    Introduction,14,TimesNewRomanPS-BoldMT,,17,17
"The purpose of the road lighting is to increase the safety and comfort of traffic participants 
at night. Road lighting provides good visibility conditions by illuminating the road and surrounding 
surfaces and by making objects visible to the drivers or pedestrians. Construction of road lighting 
can reduce night-time accidents by 20-40 %, especially when a participant of the car accident is a 
pedestrian.  In  the  1930s,  the  pioneer  work  of  Waldram  defined  the  silhouette  principle  of  road 
lighting which states that targets on illuminated roads are seen as dark silhouettes against the bright 
road surface [1]. Since the late 1970s, systematic studies and improvements to the lighting of streets 
resulted in reduction of the crime in night-time.",12,TimesNewRomanPSMT,,767,109
"The  design  of  road  lighting  installation  was  shifted  from  that  time  towards  the  visible 
quantities, such as target luminance, road surface luminance, luminance uniformity, and restriction 
of  glare  [2].  A  comprehensive  analysis  of  62  studies  from  15  countries  published  by  CIE",12,TimesNewRomanPSMT,,304,101
(Commission  Internationale  de  l’Éclairage,12,TimesNewRomanPSMT,,44,44
"-  International  Commision  on  Illumination)  has  the 
relevant  answers  for  the  illumination  of  the  roads  today.  Several  studies  have  tried  to  evaluate 
which photometric parameters (average illuminance, average luminance, uniformity of luminance, 
etc.) are important and how levels of these parameters are related to accident rate during night-",12,TimesNewRomanPSMT,,363,111
c,12,TimesNewRomanPSMT,,1,1
