text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
MNRAS,7,TeXGyreTermesX-Regular,,5,5
000,7,TeXGyreTermesX-Bold,,3,3
", 1–13 (2019)",7,TeXGyreTermesX-Regular,,13,13
Preprint 7 January 2021,7,TeXGyreTermesX-Regular,,23,23
Compiled using MNRAS L,7,TeXGyreTermesX-Regular,,22,22
A,6,TeXGyreTermesX-Regular,,1,1
TEX style ﬁle v3.0,7,TeXGyreTermesX-Regular,,18,18
"The Three Hundred Project: The gas disruption of infalling objects
in cluster environments",17,TeXGyreTermesX-Bold,,90,66
Robert Mostoghiu,14,TeXGyreTermesX-Regular,,16,16
1,10,TeXGyreTermesX-Regular,,1,1
",",10,NewTXMI,,1,1
3,10,TeXGyreTermesX-Regular,,1,1
",",10,NewTXMI,,1,1
4,10,TeXGyreTermesX-Regular,,1,1
★,10,NewTXMI,,1,1
", Jake Arthur",14,TeXGyreTermesX-Regular,,13,13
4,10,TeXGyreTermesX-Regular,,1,1
",",14,NewTXMI,,1,1
Frazer R. Pearce,14,TeXGyreTermesX-Regular,,16,16
4,10,TeXGyreTermesX-Regular,,1,1
",",14,NewTXMI,,1,1
Meghan Gray,14,TeXGyreTermesX-Regular,,11,11
4,10,TeXGyreTermesX-Regular,,1,1
",",14,NewTXMI,,1,1
"Alexander
Knebe",14,TeXGyreTermesX-Regular,,15,9
1,10,TeXGyreTermesX-Regular,,1,1
",",10,NewTXMI,,1,1
2,10,TeXGyreTermesX-Regular,,1,1
",",10,NewTXMI,,1,1
3,10,TeXGyreTermesX-Regular,,1,1
",",14,NewTXMI,,1,1
Weiguang Cui,14,TeXGyreTermesX-Regular,,12,12
5,10,TeXGyreTermesX-Regular,,1,1
",",14,NewTXMI,,1,1
Charlotte Welker,14,TeXGyreTermesX-Regular,,16,16
6,10,TeXGyreTermesX-Regular,,1,1
",",10,NewTXMI,,1,1
7,10,TeXGyreTermesX-Regular,,1,1
",",14,NewTXMI,,1,1
Sofía A. Cora,14,TeXGyreTermesX-Regular,,13,13
8,10,TeXGyreTermesX-Regular,,1,1
",",10,NewTXMI,,1,1
9,10,TeXGyreTermesX-Regular,,1,1
",",14,NewTXMI,,1,1
Giuseppe Murante,14,TeXGyreTermesX-Regular,,16,16
10,10,TeXGyreTermesX-Regular,,2,2
",",14,NewTXMI,,1,1
Klaus Dolag,14,TeXGyreTermesX-Regular,,11,11
11,10,TeXGyreTermesX-Regular,,2,2
",",10,NewTXMI,,1,1
12,10,TeXGyreTermesX-Regular,,2,2
",",14,NewTXMI,,1,1
Gustavo Yepes,14,TeXGyreTermesX-Regular,,13,13
1,10,TeXGyreTermesX-Regular,,1,1
",",10,NewTXMI,,1,1
2,10,TeXGyreTermesX-Regular,,1,1
1,6,TeXGyreTermesX-Regular,,1,1
"Departamento de Física Teórica, Módulo 15, Facultad de Ciencias, Universidad Autónoma de Madrid, E-28049 Madrid, Spain",7,TeXGyreTermesX-Italic,,118,118
2,6,TeXGyreTermesX-Regular,,1,1
"Centro de Investigación Avanzada en Física Fundamental (CIAFF), Facultad de Ciencias, Universidad Autónoma de Madrid, 28049 Madrid, Spain",7,TeXGyreTermesX-Italic,,137,137
3,6,TeXGyreTermesX-Regular,,1,1
"International Center for Radio Astronomy Research, University of Western Australia, 35 Stirling Highway, Crawley, Western Australia 6009, Australia",7,TeXGyreTermesX-Italic,,147,147
4,6,TeXGyreTermesX-Regular,,1,1
"School of Physics & Astronomy, University of Nottingham, Nottingham NG7 2RD, UK",7,TeXGyreTermesX-Italic,,79,79
5,6,TeXGyreTermesX-Regular,,1,1
"Institute for Astronomy, University of Edinburgh, Royal Observatory, Edinburgh EH9 3HJ, United Kingdom",7,TeXGyreTermesX-Italic,,102,102
6,6,TeXGyreTermesX-Regular,,1,1
"Department of Physics and Astronomy, Zanvyl Krieger School for Arts & Sciences, The Johns Hopkins University, Baltimore, MD 21218, USA",7,TeXGyreTermesX-Italic,,134,134
7,6,TeXGyreTermesX-Regular,,1,1
"Department of Physics and Astronomy, McMaster University, Hamilton, Ontario, Canada",7,TeXGyreTermesX-Italic,,83,83
8,6,TeXGyreTermesX-Regular,,1,1
"Instituto de Astrofísica de La Plata (CCT La Plata, CONICET,UNLP), Observatorio Astronómico, Paseo del Bosque, B1900FWA, La Plata, Argentina",7,TeXGyreTermesX-Italic,,140,140
9,6,TeXGyreTermesX-Regular,,1,1
"Facultad de Ciencias Astronómicas y Geofísicas, Universidad Nacional de La Plata (UNLP), Observatorio Astronómico, Paseo del Bosque, B1900FWA La
Plata, Argentina",7,TeXGyreTermesX-Italic,,161,144
10,6,TeXGyreTermesX-Regular,,2,2
"I.N.A.F. Trieste Observatory, Via Tiepolo 11, 34143 Trieste, Italy",7,TeXGyreTermesX-Italic,,66,66
11,6,TeXGyreTermesX-Regular,,2,2
"University Observatory Munich, Scheinerstraße 1, D-81679 Munich, Germany",7,TeXGyreTermesX-Italic,,72,72
12,6,TeXGyreTermesX-Regular,,2,2
"Max-Planck-Institut fur Astrophysik (MPA), Karl-Schwarzschild Straße 1, D-85748 Garching bei München, Germany",7,TeXGyreTermesX-Italic,,109,109
Accepted XXX. Received YYY; in original form ZZZ,7,TeXGyreTermesX-Regular,,48,48
ABSTRACT,8,TeXGyreTermesX-Bold,,8,8
"We analyse the gas content evolution of infalling haloes in cluster environments from The
Three Hundred project, a collection of 324 numerically modelled galaxy clusters. The haloes
in our sample were selected within 5",9,TeXGyreTermesX-Regular,,218,91
𝑅,9,NewTXMI,,1,1
200,7,TeXGyreTermesX-Regular,,3,3
of the main cluster halo at,9,TeXGyreTermesX-Regular,,27,27
𝑧,9,NewTXMI,,1,1
=,9,txmiaX,,1,1
"0 and have total halo
mass",9,TeXGyreTermesX-Regular,,26,21
𝑀,9,NewTXMI,,1,1
200,7,TeXGyreTermesX-Regular,,3,3
≥,9,txsys,,1,1
10,9,TeXGyreTermesX-Regular,,2,2
11,7,TeXGyreTermesX-Regular,,2,2
ℎ,9,NewTXMI,,1,1
−,7,txsys,,1,1
1,7,TeXGyreTermesX-Regular,,1,1
M,9,TeXGyreTermesX-Regular,,1,1
,7,txsys,,0,0
". We track their main progenitors and study their gas evolution since
their crossing into the infall region, which we deﬁne as 1",9,TeXGyreTermesX-Regular,,128,69
−,9,txsys,,1,1
4,9,TeXGyreTermesX-Regular,,1,1
𝑅,9,NewTXMI,,1,1
200,7,TeXGyreTermesX-Regular,,3,3
". Studying the radial trends
of our populations using both the full phase space information and a line-of-sight projection,
we conﬁrm the Arthur et al. (2019) result and identify a characteristic radius around 1",9,TeXGyreTermesX-Regular,,211,94
.,9,NewTXMI,,1,1
7,9,TeXGyreTermesX-Regular,,1,1
𝑅,9,NewTXMI,,1,1
200,7,TeXGyreTermesX-Regular,,3,3
in 3D and at,9,TeXGyreTermesX-Regular,,12,12
𝑅,9,NewTXMI,,1,1
200,7,TeXGyreTermesX-Regular,,3,3
"in projection at which infalling haloes lose nearly all of the gas prior their
infall. Splitting the trends by subhalo status we show that subhaloes residing in group-mass
and low-mass host haloes in the infall region follow similar radial gas-loss trends as their hosts,
whereas subhaloes of cluster-mass host haloes are stripped of their gas much further out. Our
results show that infalling objects suﬀer signiﬁcant gaseous disruption that correlates with
time-since-infall, cluster-centric distance and host mass, and that the gaseous disruption they
experience is a combination of subhalo pre-processing and object gas depletion at a radius
which behaves like an accretion shock.",9,TeXGyreTermesX-Regular,,684,99
Key words:,9,TeXGyreTermesX-Bold,,10,10
"methods: numerical – clusters: general – galaxies: evolution – galaxies: interac-
tions",9,TeXGyreTermesX-Regular,,87,81
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
5,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
4
3
7
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
1,8,TeXGyreTermesX-Bold,,1,1
INTRODUCTION,8,TeXGyreTermesX-Bold,,12,12
"Our current understanding of structure formation,
the",8,TeXGyreTermesX-Regular,,53,49
Λ,8,txmiaX,,1,1
"CDM
paradigm, describes the growth of structures via continuous merg-
ing of lower mass systems into more massive, denser haloes (White
& Rees 1978). As galaxies fall into these objects, they are aﬀected
by several mechanisms due to their local environment (e.g. Boselli
& Gavazzi 2006, and references therein). Studies have shown that
correlations between galaxy properties and environment become",8,TeXGyreTermesX-Regular,,397,67
★,6,NewTXMI5,,1,1
robert.mostoghiu@uam.es,7,TeXGyreTermesX-Regular,,23,23
©,7,TeXGyreTermes-Regular,,1,1
2019 The Authors,7,TeXGyreTermesX-Regular,,16,16
"stronger in more extreme environments, such as within the virial ra-
dius of galaxy clusters. For instance, compared to the ﬁeld, in high
density environments early-type morphologies are more abundant
(Dressler 1980), galaxies are redder (Baldry et al. 2006), and star
formation is suppressed (Gómez et al. 2003).",8,TeXGyreTermesX-Regular,,313,68
"Determining the extent of galaxy disruption in “sub-dominant”
environments, such as ﬁlaments and group-sized haloes, before an
in-falling galaxy passes beyond the virial radius of a galaxy cluster,
also known as pre-processing (Fujita 2004), is likewise important.
Pre-processing has been suggested as a possible cause for recent
observational results that ﬁnd suppressed star formation (Lu et al.",8,TeXGyreTermesX-Regular,,397,70
2,11,TeXGyreTermesX-Regular,,1,1
Mostoghiu et. al,11,TeXGyreTermesX-Italic,,16,16
"2012; Cybulski et al. 2014; Haines et al. 2015), lower disc fractions
(Roberts & Parker 2017) and higher red fractions (Just et al. 2019)
in infalling galaxies at high cluster-centric radii compared with the
ﬁeld. More speciﬁcally, observations have shown that subhaloes,
containing satellite galaxies, show signs of pre-processing (Hou
et al. 2014) at high cluster-centric radii. In fact, it has been suggested
that the quenching of satellite star formation is responsible for the
majority of all quiescent (red-sequence) galaxies at",8,TeXGyreTermesX-Regular,,534,74
𝑀,8,NewTXMI,,1,1
star,7,TeXGyreTermesX-Regular,,4,4
< 10,8,TeXGyreTermesX-Regular,,4,4
