text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
4,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
2
9
1
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
MNRAS,7,CMR8,,5,5
000,7,CMB10,,3,3
", 1–19 ()",7,CMR8,,9,9
Preprint 6 January 2021,7,CMR8,,23,23
Compiled using MNRAS L,7,CMR8,,22,22
A,5,CMR6,,1,1
TEX style ﬁle v3.0,7,CMR8,,18,18
Lyman-,17,CMB10,,6,6
α,17,CMMI12,,1,1
"emission from a WISE-selected optically faint powerful
radio galaxy M151304.72-252439.7 at",17,CMB10,,90,54
z,17,CMMI12,,1,1
= 3.132,17,CMB10,,7,7
,11,CMMI12,,0,0
Gitika Shukla,14,CMR12,,13,13
1,9,CMR10,,1,1
†,14,CMSY10,,1,1
", Raghunathan Srianand",14,CMR12,,22,22
1,9,CMR10,,1,1
", Neeraj Gupta",14,CMR12,,14,14
1,9,CMR10,,1,1
", Patrick Petitjean",14,CMR12,,19,19
2,9,CMR10,,1,1
",
Andrew J. Baker",14,CMR12,,17,15
3,9,CMR10,,1,1
", Jens-Kristian Krogager",14,CMR12,,24,24
2,9,CMR10,,1,1
", Pasquier Noterdaeme",14,CMR12,,21,21
2,9,CMR10,,1,1
1,5,CMR6,,1,1
