text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
5,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
E,12,Times-Roman,,1,1
H,14,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
3
4
3
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Mon. Not. R. Astron. Soc.,7,CMR8,,25,25
000,7,CMBX8,,3,3
", 1–10 (2020)",7,CMR8,,13,13
Printed 6 January 2021,7,CMR8,,22,22
(MN L,7,CMR8,,5,5
A,5,CMR6,,1,1
TEX style ﬁle v2.2),7,CMR8,,19,19
"The power-law component of the X-ray emissions from
pulsar wind nebulae and their pulsars",17,CMBX12,,89,51
"Jr-Yue Hsiang,",14,CMR12,,14,14
1,9,CMR10,,1,1
Hsiang-Kuang Chang,14,CMR12,,18,18
1,9,CMR10,,1,1
",",9,CMMI10,,1,1
2,9,CMR10,,1,1
",",9,CMMI10,,1,1
3,9,CMR10,,1,1
,9,CMMI10,,0,0
1,5,CMR6,,1,1
"Institute of Astronomy, National Tsing Hua University, Hsinchu 30013, Taiwan",7,CMTI8,,76,76
2,5,CMR6,,1,1
"Department of Physics, National Tsing Hua University, Hsinchu 30013, Taiwan",7,CMTI8,,75,75
3,5,CMR6,,1,1
"Center for Informatics and Computation in Astronomy (CICA), National Tsing Hua University, Hsinchu 30013, Taiwan",7,CMTI8,,112,112
