text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
5,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
M,17,Times-Roman,,1,1
I,6,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
5
2
7
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
MNRAS,7,NimbusRomNo9L-Regu,,5,5
000,7,NimbusRomNo9L-Medi,,3,3
", 000–000 (0000)",7,NimbusRomNo9L-Regu,,16,16
Preprint 7 January 2021,7,NimbusRomNo9L-Regu,,23,23
Compiled using MNRAS L,7,NimbusRomNo9L-Regu,,22,22
A,5,NimbusRomNo9L-Regu,,1,1
TEX style ﬁle v3.0,7,NimbusRomNo9L-Regu,,18,18
"Predicting the Observability of Population III Stars with
ELT-HARMONI via the Helium",17,NimbusRomNo9L-Medi,,84,57
1640,17,CMR17,,4,4
˚,17,NimbusRomNo9L-Medi,,1,1
A,17,CMR17,,1,1
emission line,17,NimbusRomNo9L-Medi,,13,13
Kearn Grisdale,14,NimbusRomNo9L-Regu,,14,14
1,9,CMR10,,1,1
,9,CMMI10,,0,0
", Niranjan Thatte",14,NimbusRomNo9L-Regu,,17,17
1,9,CMR10,,1,1
", Julien Devriendt",14,NimbusRomNo9L-Regu,,18,18
1,9,CMR10,,1,1
", Miguel Pereira-Santaella",14,NimbusRomNo9L-Regu,,26,26
1,9,CMR10,,1,1
",",9,CMMI10,,1,1
