text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
4,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
R,13,Times-Roman,,1,1
S,11,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
1
5
7
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
"Search of variable stars in the ﬁeld of NGC 1960 and
DOLIDGE 14",14,NimbusRomNo9L-Regu,,63,52
Gireesh C. Joshi,9,NimbusRomNo9L-Regu,,16,16
a,6,NimbusRomNo9L-Regu,,1,1
a,5,NimbusRomNo9L-ReguItal,,1,1
"Department of Physics, Govt. Degree College, Kotdwar Bhabar, Pauri-246149",7,NimbusRomNo9L-ReguItal,,73,73
Abstract,9,NimbusRomNo9L-Medi,,8,8
Open clusters are host the several identical stars in the similar physical and chemi-,9,NimbusRomNo9L-Regu,,85,85
"cal environment. They become interesting objects to identify the variable stars in the
lower metallicity domain. In the present paper, the CCD time series observations of
cluster NGC 1960 and DOLIDZE 14 are performed to search the variable stars within
them. A comprehensive study of di",9,NimbusRomNo9L-Regu,,286,86
ﬀ,9,rtxr,,1,1
