text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"Draft version January 5, 2021",7,CMCSC10,,29,29
Typeset using L,7,CMR8,,15,15
A,5,CMR6,,1,1
TEX,7,CMR8,,3,3
RNAAS,7,CMBX8,,5,5
style in AASTeX62,7,CMR8,,17,17
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
4,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
8
1
1
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
A Method for a Pseudo-Local Measurement of the Galactic Magnetic Field,11,CMCSC10,,70,70
Steven R. Spangler,8,CMR9,,18,18
1,5,CMR6,,1,1
1,5,CMR6,,1,1
"Department of Physics and Astronomy, University of Iowa",7,CMTI8,,55,55
ABSTRACT,9,CMR10,,8,8
"Much of the information about the magnetic ﬁeld in the Milky Way and other galaxies comes from
measurements which are path integrals, such as Faraday rotation and the polarization of synchrotron
radiation of cosmic ray electrons. The measurement made at the radio telescope results from the
contributions of volume elements along a long line of sight. The inferred magnetic ﬁeld is therefore
some sort of average over a long line segment. A magnetic ﬁeld measurement at a given spatial location
is of much more physical signiﬁcance. In this paper, we point out that HII regions fortuitously oﬀer
such a “point” measurement, albeit of one component of the magnetic ﬁeld, and averaged over the",9,CMR10,,691,102
"sightline through the HII region. However, the line of sight (LOS) through an HII region is much",9,CMR10,,96,96
"smaller (e.g. 30 - 50 pc) than one through the entire Galactic disk, and thus constitutes a “pseudo-
local” measurement. We use published HII region Faraday rotation measurements to provide a new
constraint on the magnitude of magnetohydrodynamic (MHD) turbulence in the Galaxy, as well as
to raise intriguing speculations about the modiﬁcation of the Galactic ﬁeld during the star formation
process.",9,CMR10,,400,101
Keywords:,9,CMTI10,,9,9
interstellar medium — interstellar magnetic ﬁelds — interstellar plasma,9,CMR10,,71,71
1. INTRODUCTION,9,CMR10,,15,15
