text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"Draft version June 2, 2021",7,CMCSC10,,26,26
Typeset using L,7,CMR8,,15,15
A,5,CMR6,,1,1
TEX,7,CMR8,,3,3
twocolumn,7,CMBX8,,9,9
style in AASTeX63,7,CMR8,,17,17
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
"n
u",10,Times-Roman,,3,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
1,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"2
v
9
2
7
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
The Connection between Mergers and AGN Activity in Simulated and Observed Massive Galaxies,9,CMBX10,,90,90
"Ray S. Sharma,",8,CMCSC10,,14,14
1,5,CMCSC10,,1,1
"Ena Choi,",8,CMCSC10,,9,9
2,5,CMCSC10,,1,1
"Rachel S. Somerville,",8,CMCSC10,,21,21
3,5,CMCSC10,,1,1
"Gregory F. Snyder,",8,CMCSC10,,18,18
4,5,CMCSC10,,1,1
"Dale D. Kocevski,",8,CMCSC10,,17,17
5,5,CMCSC10,,1,1
"Michaela Hirschmann,",8,CMCSC10,,20,20
6,5,CMCSC10,,1,1
"Benjamin P. Moster,",8,CMCSC10,,19,19
"7, 8",5,CMCSC10,,4,4
"Thorsten Naab,",8,CMCSC10,,14,14
8,5,CMCSC10,,1,1
"Desika Narayanan,",8,CMCSC10,,17,17
"9, 10, 11",5,CMCSC10,,9,9
"Jeremiah P. Ostriker,",8,CMCSC10,,21,21
"12, 13",5,CMCSC10,,6,6
and David J. Rosario,8,CMCSC10,,20,20
14,5,CMCSC10,,2,2
1,5,CMR6,,1,1
"Department of Physics and Astronomy, Rutgers, The State University of New Jersey, 136 Frelinghuysen Road, Piscataway, NJ 08854,
USA",7,CMTI8,,131,127
2,5,CMR6,,1,1
"Quantum Universe Center, Korea Institute for Advanced Study, Hoegiro 85, Seoul 02455, Korea",7,CMTI8,,91,91
3,5,CMR6,,1,1
"Center for Computational Astrophysics, Flatiron Institute, 162 5th Ave, New York, NY 10010, USA",7,CMTI8,,95,95
4,5,CMR6,,1,1
"Space Telescope Science Institute, 3700 San Martin Dr, Baltimore, MD 21218, USA",7,CMTI8,,79,79
5,5,CMR6,,1,1
"Department of Physics and Astronomy, Colby College, Waterville, ME 04961, USA",7,CMTI8,,77,77
6,5,CMR6,,1,1
"DARK, Niels Bohr Institute, University of Copenhagen, Lyngbyvej 2, 2100 Copenhagen, Denmark",7,CMTI8,,91,91
7,5,CMR6,,1,1
"Universit¨ats-Sternwarte, Ludwig-Maximilians-Universit¨at M¨unchen, Scheinerstr. 1, 81679 M¨unchen, Germany",7,CMTI8,,107,107
8,5,CMR6,,1,1
"Max-Planck-Institut f¨ur Astrophysik, Karl-Schwarzschild Straße 1, 85748 Garching, Germany",7,CMTI8,,90,90
9,5,CMR6,,1,1
"Department of Astronomy, University of Florida, 211 Bryant Space Sciences Center, Gainesville, FL 32611, USA",7,CMTI8,,108,108
10,5,CMR6,,2,2
"University of Florida Informatics Institute, 432 Newell Drive, CISE Bldg E251, Gainesville, FL 32611, USA",7,CMTI8,,105,105
11,5,CMR6,,2,2
"Cosmic Dawn Center at the Niels Bohr Institute, University of Copenhagen and RFU-Space, Technical University of Denmark",7,CMTI8,,119,119
12,5,CMR6,,2,2
