text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
Astronomy,9,NimbusRomNo9L-Regu-Slant_167,,9,9
&,9,rtxr-Slant_167,,1,1
Astrophysics,9,NimbusRomNo9L-Regu-Slant_167,,12,12
"manuscript no. 39988
January 6, 2021",9,NimbusRomNo9L-Regu,,36,20
©,9,rtcxr,,1,1
ESO 2021,9,NimbusRomNo9L-Regu,,8,8
L,10,NimbusRomNo9L-Regu,,1,1
etter to the,10,rtxsc,,12,12
E,10,NimbusRomNo9L-Regu,,1,1
ditor,10,rtxsc,,5,5
Starlet,16,NimbusSanL-Bold,,7,7
,17,rtxbmi,,0,0
1,11,NimbusRomNo9L-Medi,,1,1
-norm for weak lensing cosmology,16,NimbusSanL-Bold,,32,32
Virginia Ajani,10,NimbusRomNo9L-Regu,,14,14
1,7,NimbusRomNo9L-Regu,,1,1
", Jean-Luc Starck",10,NimbusRomNo9L-Regu,,17,17
1,7,NimbusRomNo9L-Regu,,1,1
", and Valeria Pettorino",10,NimbusRomNo9L-Regu,,23,23
1,7,NimbusRomNo9L-Regu,,1,1
"AIM, CEA, CNRS, Université Paris-Saclay, Université de Paris, Sorbonne Paris Cité, F-91191 Gif-sur-Yvette, France
e-mail:",8,NimbusRomNo9L-Regu,,121,113
virginia.ajani@cea.fr,8,t1xtt,,21,21
Received 25,8,NimbusRomNo9L-Regu,,11,11
/,8,rtxr,,1,1
11,8,NimbusRomNo9L-Regu,,2,2
/,8,rtxr,,1,1
2020; Accepted 22,8,NimbusRomNo9L-Regu,,17,17
/,8,rtxr,,1,1
12,8,NimbusRomNo9L-Regu,,2,2
/,8,rtxr,,1,1
2020,8,NimbusRomNo9L-Regu,,4,4
ABSTRACT,8,NimbusSanL-Bold,,8,8
"We present a new summary statistic for weak lensing observables, higher than second order, suitable for extracting non-Gaussian
cosmological information and inferring cosmological parameters. We name this statistic the ‘starlet",8,NimbusRomNo9L-Regu,,227,127
,8,rtxmi,,0,0
1,5,NimbusRomNo9L-Regu,,1,1
"-norm’ as it is computed via the
sum of the absolute values of the starlet (wavelet) decomposition coe",8,NimbusRomNo9L-Regu,,102,69
ﬃ,8,rtxr,,1,1
"cients of a weak lensing map. In comparison to the state-of-
the-art higher-order statistics – weak lensing peak counts and minimum counts, or the combination of the two – the",8,NimbusRomNo9L-Regu,,175,114
,8,rtxmi,,0,0
1,5,NimbusRomNo9L-Regu,,1,1
"-norm provides
a fast multi-scale calculation of the full void and peak distribution, avoiding the problem of deﬁning what a peak is and what a
void is: The",8,NimbusRomNo9L-Regu,,156,128
,8,rtxmi,,0,0
1,5,NimbusRomNo9L-Regu,,1,1
"-norm carries the information encoded in all pixels of the map, not just the ones in local maxima and minima. We
show its potential by applying it to the weak lensing convergence maps provided by the",8,NimbusRomNo9L-Regu,,199,112
