text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"Draft version January 6, 2021",7,CMCSC10,,29,29
Typeset using L,7,CMR8,,15,15
A,5,CMR6,,1,1
TEX,7,CMR8,,3,3
twocolumn,7,CMBX8,,9,9
style in AASTeX63,7,CMR8,,17,17
"The Panchromatic Hubble Andromeda Treasury: Triangulum Extended Region (PHATTER) I.
Ultraviolet to Infrared Photometry of 22 Million Stars in M33",9,CMBX10,,145,83
"Benjamin F. Williams,",8,CMCSC10,,21,21
1,5,CMCSC10,,1,1
"Meredith J. Durbin,",8,CMCSC10,,19,19
1,5,CMCSC10,,1,1
"Julianne J. Dalcanton,",8,CMCSC10,,22,22
1,5,CMCSC10,,1,1
"Dustin Lang,",8,CMCSC10,,12,12
2,5,CMCSC10,,1,1
"Leo Girardi,",8,CMCSC10,,12,12
3,5,CMCSC10,,1,1
"Adam Smercina,",8,CMCSC10,,14,14
1,5,CMCSC10,,1,1
"Andrew Dolphin,",8,CMCSC10,,15,15
"4, 5",5,CMCSC10,,4,4
"Daniel R. Weisz,",8,CMCSC10,,16,16
6,5,CMCSC10,,1,1
"Yumi Choi,",8,CMCSC10,,10,10
7,5,CMCSC10,,1,1
"Eric F. Bell,",8,CMCSC10,,13,13
8,5,CMCSC10,,1,1
"Erik Rosolowsky,",8,CMCSC10,,16,16
9,5,CMCSC10,,1,1
"Evan Skillman,",8,CMCSC10,,14,14
10,5,CMCSC10,,2,2
"Eric W. Koch,",8,CMCSC10,,13,13
9,5,CMCSC10,,1,1
"Christine W. Lindberg,",8,CMCSC10,,22,22
11,5,CMCSC10,,2,2
"Lea Hagen,",8,CMCSC10,,10,10
7,5,CMCSC10,,1,1
"Karl D. Gordon,",8,CMCSC10,,15,15
7,5,CMCSC10,,1,1
"Anil Seth,",8,CMCSC10,,10,10
12,5,CMCSC10,,2,2
"Karoline Gilbert,",8,CMCSC10,,17,17
7,5,CMCSC10,,1,1
"Puragra Guhathakurta,",8,CMCSC10,,21,21
13,5,CMCSC10,,2,2
"Tod Lauer,",8,CMCSC10,,10,10
14,5,CMCSC10,,2,2
and Luciana Bianchi,8,CMCSC10,,19,19
15,5,CMCSC10,,2,2
1,5,CMR6,,1,1
"Department of Astronomy, University of Washington, Box 351580, U.W., Seattle, WA 98195-1580, USA",7,CMTI8,,96,96
2,5,CMR6,,1,1
"McWilliams Center for Cosmology, Department of Physics, Carnegie Mellon University, 5000 Forbes Ave., Pittsburgh, PA",7,CMTI8,,116,116
3,5,CMR6,,1,1
"Padova Astronomical Observatory, Vicolo dell’Osservatorio 5, Padova, Italy",7,CMTI8,,74,74
4,5,CMR6,,1,1
"Raytheon, Tucson, AZ 85726, USA",7,CMTI8,,31,31
5,5,CMR6,,1,1
"Steward Observatory, University of Arizona, Tucson, AZ 85726, USA",7,CMTI8,,65,65
6,5,CMR6,,1,1
"Astronomy Department, University of California, Berkeley, CA 94720, USA",7,CMTI8,,71,71
7,5,CMR6,,1,1
"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD, 21218, USA",7,CMTI8,,83,83
8,5,CMR6,,1,1
"Department of Astronomy, University of Michigan, 323 West Hall, 1085 S. University Ave., Ann Arbor, MI, 48105-1107, USA",7,CMTI8,,119,119
9,5,CMR6,,1,1
"University of Alberta, Department of Physics, 4-183 CCIS, Edmonton AB T6G 2E1, Canada",7,CMTI8,,85,85
10,5,CMR6,,2,2
"Minnesota Institute for Astrophysics, 116 Church Street SE, Minneapolis, MN 55455",7,CMTI8,,81,81
11,5,CMR6,,2,2
"JHU/STScI, 3700 San Martin Drive, Baltimore, MD, 21218, USA",7,CMTI8,,59,59
12,5,CMR6,,2,2
"University of Utah, Salt Lake City, UT 84112",7,CMTI8,,44,44
13,5,CMR6,,2,2
"University of California - Santa Cruz, 1156 High Street, Santa Cruz, CA, 95064",7,CMTI8,,78,78
14,5,CMR6,,2,2
"National Optical Astronomy Observatory, PO Box 26732, Tucson, AZ 85726",7,CMTI8,,70,70
15,5,CMR6,,2,2
"JHU, 3400 North Charles St., 473 Bloomberg center for Physics and Astronomy, Baltimore, MD, 21218",7,CMTI8,,97,97
ABSTRACT,9,CMR10,,8,8
∼,9,CMSY10,,1,1
"We present panchromatic resolved stellar photometry for 22 million stars in the Local Group dwarf
spiral Triangulum (M33), derived from",9,CMR10,,135,97
Hubble Space Telescope,9,CMTI10,,22,22
(HST) observations with the,9,CMR10,,27,27
"Advanced
Camera for Surveys",9,CMTI10,,27,18
"(ACS) in the optical (F475W, F814W), and the",9,CMR10,,44,44
Wide Field Camera 3,9,CMTI10,,19,19
"(WFC3)
in the near ultraviolet (F275W, F336W) and near-infrared (F110W, F160W) bands. The large, con-
tiguous survey area covers
14 square kpc and extends to 3.5 kpc (14 arcmin, or 1.5–2 scale lengths)
from the center of M33. The PHATTER observing strategy and photometry technique closely mimics
that of Panchromatic Hubble Andromeda Treasury (PHAT), but with updated photometry techniques
that take full advantage of all overlapping pointings (aligned to within",9,CMR10,,463,94
<,9,CMMI10,,1,1
"5-10 milliarcseconds) and
improved treatment of spatially varying PSFs. The photometry reaches a completeness-limited depth
of F475W
26.5 in the most
crowded regions found near the center of M33. We ﬁnd the young populations trace several relatively
tight arms, while the old populations show a clear, looser two-armed structure. We present extensive",9,CMR10,,350,100
"analysis of the data quality including artiﬁcial star tests to quantify completeness, photometric un-
certainties, and ﬂux biases. This stellar catalog is the largest ever produced for M33, and is publicly
available for download by the community.",9,CMR10,,246,103
28.5 in the lowest surface density regions observed in M33 and F475W,9,CMR10,,68,68
∼,9,CMSY10,,1,1
∼,9,CMSY10,,1,1
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
5,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
3
9
2
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Keywords:,9,CMTI10,,9,9
Stellar Populations —,9,CMR10,,21,21
1.,8,CMR9,,2,2
INTRODUCTION,9,CMR10,,12,12
"Resolved stellar photometry has the potential to con-
strain fundamental processes in astrophysics, including",9,CMR10,,109,55
"star formation, stellar evolution, feedback into the in-
terstellar medium, galaxy formation and evolution, and
chemical enrichment. The stars themselves are the fos-
sil record of these processes, which leave signatures in
the properties of individual stars, their mass distribu-",9,CMR10,,280,56
"tion, their distribution of colors and magnitudes, and
their spatial distribution with respect to other galactic
tracers.",9,CMR10,,121,57
While Gaia is transforming our understanding of the,9,CMR10,,51,51
"stars and structure of the Milky Way disk (Gaia Collab-
oration et al. 2018), we still need comparably detailed
population studies of other disks to put our Galaxy and
its stellar populations in context. The best targets for",9,CMR10,,224,56
2,9,CMR10,,1,1
"such studies are the galaxies in the Local Group, which
contains two spirals other than the Milky Way — M31,
a “green valley” Sb galaxy, and M33, a blue sequence,
star-forming dwarf spiral. Along with the Milky Way,
these two galaxies form our best anchors for baryonic
processes in spiral galaxies. This set of three galaxies
spans a large dynamic range, giving ample opportunities
for contrasting how astrophysical processes are shaped
by other parameters. For example, both M31 and the
Galaxy are of similar mass and metallicity (Watkins
et al. 2010; Gregersen et al. 2015), but M31 seems to
have a much more dramatic recent merger history (e.g.,
Hammer et al. 2018; D’Souza & Bell 2018; Kruijssen
et al. 2019).",9,CMR10,,714,56
"In contrast to both of these more massive partners,
M33 is of lower mass and metallicity, and appears to
have a relatively quiescent merger history, as suggested",9,CMR10,,161,56
"by its inside-out growth (Magrini et al. 2007; Williams
et al. 2009; Beasley et al. 2015; Mostoghiu et al. 2018)
and lack of a signiﬁcant extended stellar halo (Mc-
Connachie et al. 2010; McMonigal et al. 2016) or promi-
nent thick disk (Wyse 2002; van der Kruit & Freeman
2011). Thus, M33 probes a diﬀerent set of physical
and chemical evolution properties than the other Lo-
cal Group disk galaxies, and we can constrain these
in exquisite detail through measurements of M33’s con-
stituent stars.",9,CMR10,,499,56
"Along with M31, previously surveyed with HST as
part of the Panchromatic Hubble Andromeda Treasury
(PHAT, Dalcanton et al. 2012), M33 is one of the richest
galaxies in the Local Group for obtaining photometric
measurements of resolved stars in a spiral galaxy. It is
close enough that we can resolve stars all the way down
to the ancient main sequence (Williams et al. 2009) over
much of the disk. All of its stars are at the same distance
and foreground extinction, alleviating issues related to
the wide range of distances and extinctions of stars in",9,CMR10,,552,59
"the Galaxy. Furthermore, M33 has no well-established
signiﬁcant bulge component beyond its nuclear cluster
(McLean & Liu 1996; Kormendy & McClure 1993), and
at most a weak pseudobulge or bar (Regan & Vogel 1994;
Minniti et al. 1993; Stephens & Frogel 2002; Corbelli &
Walterbos 2007), meaning that there is little confusion
between disk and bulge populations.",9,CMR10,,359,55
"The metallicity gradient in M33 is well known, and
has been measured many times with planetary nebulae
and HII regions (e.g., Cioni et al. 2008; Rosolowsky &
Simon 2008; Magrini et al. 2009, 2010; Bresolin et al.",9,CMR10,,212,54
"2010; Toribio San Cipriano et al. 2016; Lin et al. 2017).
These studies have provided a range of measured central
metallicities of 8",9,CMR10,,132,57
.,9,CMMI10,,1,1
4,9,CMR10,,1,1
<,9,CMMI10,,1,1
12 +,9,CMR10,,4,4
log,9,CMMI10,,3,3
(,9,CMR10,,1,1
O/H,9,CMMI10,,3,3
),9,CMR10,,1,1
<,9,CMMI10,,1,1
8,9,CMR10,,1,1
.,9,CMMI10,,1,1
"8 and a range
0",9,CMR10,,15,13
.,9,CMMI10,,1,1
"02. Our representa-
of slopes of",9,CMR10,,32,19
0,9,CMR10,,1,1
.,9,CMMI10,,1,1
05,9,CMR10,,2,2
< dex/kpc <,9,CMMI10,,11,11
−,9,CMSY10,,1,1
−,9,CMSY10,,1,1
"tion in the right panel of Figure 1 is approximate and
extrapolated based on these measurements, and shows
how M33 covers the gap in metallicity between the LMC
and M31.",9,CMR10,,169,54
"The star formation rate (SFR) density of M33 is sig-
niﬁcantly higher than in M31, making it an excellent
probe of higher intensity star formation environments.
The total SFR from the GALEX far-UV (FUV) and",9,CMR10,,206,54
1,6,CMR7,,1,1
"(e.g., Ver-
Spitzer 24",9,CMR10,,22,11
µ,9,CMMI10,,1,1
"m observations is
ley et al. 2009), which is higher than the rate in the",9,CMR10,,72,54
1,6,CMR7,,1,1
"in an area about
entire PHAT survey:
0.3 M
8 times larger (Lewis et al. 2015). These measurements
are consistent with the order of magnitude relative dif-
ference in star formation intensity distributions shown
in Figure 1.",9,CMR10,,223,56
0.5 M,9,CMR10,,5,5
yr,9,CMR10,,2,2
−,6,CMSY7,,1,1
yr,9,CMR10,,2,2
−,6,CMSY7,,1,1
∼,9,CMSY10,,1,1
∼,9,CMSY10,,1,1
