text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"A Comprehensive Line-Spread Function Error Budget for the
Off-Plane Grating Rocket Experiment",15,NimbusRomNo9L-Medi,,93,57
Benjamin D. Donovan,11,NimbusRomNo9L-Medi,,19,19
"a,*",7,NimbusRomNo9L-Regu,,3,3
", Randall L. McEntaffer",11,NimbusRomNo9L-Medi,,23,23
a,7,NimbusRomNo9L-Regu,,1,1
", James H. Tutt",11,NimbusRomNo9L-Medi,,15,15
a,7,NimbusRomNo9L-Regu,,1,1
", Bridget C. O’Meara",11,NimbusRomNo9L-Medi,,20,20
a,7,NimbusRomNo9L-Regu,,1,1
",
Fabien Gris´e",11,NimbusRomNo9L-Medi,,15,13
a,7,NimbusRomNo9L-Regu,,1,1
", William W. Zhang",11,NimbusRomNo9L-Medi,,18,18
b,7,NimbusRomNo9L-Regu,,1,1
", Michael P. Biskach",11,NimbusRomNo9L-Medi,,20,20
b,7,NimbusRomNo9L-Regu,,1,1
", Timo T. Saha",11,NimbusRomNo9L-Medi,,14,14
b,7,NimbusRomNo9L-Regu,,1,1
", Andrew D.
Holland",11,NimbusRomNo9L-Medi,,19,11
c,7,NimbusRomNo9L-Regu,,1,1
", Daniel Evan",11,NimbusRomNo9L-Medi,,13,13
c,7,NimbusRomNo9L-Regu,,1,1
", Matthew R. Lewis",11,NimbusRomNo9L-Medi,,18,18
c,7,NimbusRomNo9L-Regu,,1,1
", Matthew R. Soman",11,NimbusRomNo9L-Medi,,18,18
c,7,NimbusRomNo9L-Regu,,1,1
", Karen Holland",11,NimbusRomNo9L-Medi,,15,15
d,7,NimbusRomNo9L-Regu,,1,1
", David
Colebrook",11,NimbusRomNo9L-Medi,,17,9
d,7,NimbusRomNo9L-Regu,,1,1
", Fraser Cooper",11,NimbusRomNo9L-Medi,,15,15
d,7,NimbusRomNo9L-Regu,,1,1
", David Farn",11,NimbusRomNo9L-Medi,,12,12
d,7,NimbusRomNo9L-Regu,,1,1
a,6,NimbusRomNo9L-Regu,,1,1
"The Pennsylvania State University, University Park, PA 16802",9,NimbusRomNo9L-Regu,,60,60
b,6,NimbusRomNo9L-Regu,,1,1
"NASA Goddard Space Flight Center, Greenbelt, MD 20771",9,NimbusRomNo9L-Regu,,53,53
c,6,NimbusRomNo9L-Regu,,1,1
"The Open University, Walton Hall, Milton Keynes, UK",9,NimbusRomNo9L-Regu,,51,51
d,6,NimbusRomNo9L-Regu,,1,1
"XCAM Ltd., Northampton, UK",9,NimbusRomNo9L-Regu,,26,26
Abstract.,9,NimbusRomNo9L-Medi,,9,9
The Off-plane Grating Rocket Experiment (OGRE) is a soft X-ray grating spectrometer to be ﬂown on,9,NimbusRomNo9L-Regu,,97,97
a suborbital rocket. The payload is designed to obtain the highest-resolution soft X-ray spectrum of Capella to date,9,NimbusRomNo9L-Regu,,116,116
with a resolution goal of R(,9,NimbusRomNo9L-Regu,,28,28
λ/,9,CMMI10,,2,2
∆,9,CMR10,,1,1
λ,9,CMMI10,,1,1
),9,NimbusRomNo9L-Regu,,1,1
>,9,CMMI10,,1,1
2000,9,CMR10,,4,4
at select wavelengths in its 10–55 ˚A bandpass of interest. The optical,9,NimbusRomNo9L-Regu,,71,71
design of the spectrometer realizes a theoretical maximum resolution of,9,NimbusRomNo9L-Regu,,71,71
R,9,CMMI10,,1,1
≈,9,CMSY10,,1,1
5000,9,CMR10,,4,4
", but this performance does not
consider the ﬁnite performance of the individual spectrometer components, misalignments between components, and",9,NimbusRomNo9L-Regu,,143,111
in-ﬂight pointing errors. These errors all degrade the performance of the spectrometer from its theoretical maximum.,9,NimbusRomNo9L-Regu,,116,116
A comprehensive line-spread function (LSF) error budget has been constructed for the OGRE spectrometer to identify,9,NimbusRomNo9L-Regu,,114,114
"contributions to the LSF, to determine how each of these affects the LSF, and to inform performance requirements",9,NimbusRomNo9L-Regu,,112,112
"and alignment tolerances for the spectrometer. In this document, the comprehensive LSF error budget for the OGRE",9,NimbusRomNo9L-Regu,,112,112
"spectrometer is presented, the resulting errors are validated via raytrace simulations, and the implications of these
results are discussed.",9,NimbusRomNo9L-Regu,,140,117
Keywords:,9,NimbusRomNo9L-Medi,,9,9
"error budget, X-ray spectroscopy, suborbital rocket, reﬂection gratings, mono-crystalline silicon X-ray
optics, electron-multiplying CCDs.",9,NimbusRomNo9L-Regu,,138,103
*,9,NimbusRomNo9L-Medi,,1,1
"Benjamin D. Donovan, bdonovan@psu.edu",9,NimbusRomNo9L-Regu,,37,37
1 Introduction,11,NimbusRomNo9L-Medi,,14,14
"The Off-plane Grating Rocket Experiment (OGRE) is a soft X-ray grating spectrometer that will
be ﬂown on a suborbital rocket. With a spectral resolution requirement of",11,NimbusRomNo9L-Regu,,167,93
R,11,CMMI12,,1,1
(,11,CMR12,,1,1
λ/,11,CMMI12,,2,2
∆,11,CMR12,,1,1
λ,11,CMMI12,,1,1
),11,CMR12,,1,1
>,11,CMMI12,,1,1
1500,11,CMR12,,4,4
across its 10 – 55 ˚A bandpass of interest and a goal of,11,NimbusRomNo9L-Regu,,56,56
R >,11,CMMI12,,3,3
2000,11,CMR12,,4,4
at select wavelengths in this,11,NimbusRomNo9L-Regu,,29,29
"same bandpass, OGRE will obtain the highest-resolution soft X-ray spectrum of Capella to date.",11,NimbusRomNo9L-Regu,,94,94
"This performance will enable OGRE to examine the spectrum of its target, Capella (",11,NimbusRomNo9L-Regu,,82,82
α,11,CMMI12,,1,1
"Auriga), in
unprecedented detail. This detailed observation will permit existing line blends in the soft X-ray
spectrum of Capella to be resolved, new and updated emission lines to be integrated into plasma
spectral models, and more accurate plasma characteristics to be determined for this source.",11,NimbusRomNo9L-Regu,,298,98
1,7,NimbusRomNo9L-Regu,,1,1
To achieve its performance goal of,11,NimbusRomNo9L-Regu,,34,34
R >,11,CMMI12,,3,3
2000,11,CMR12,,4,4
", OGRE will utilize three cutting-edge technolo-
gies: a mono-crystalline silicon X-ray optic assembly manufactured by NASA Goddard Space
Flight Center (GSFC),",11,NimbusRomNo9L-Regu,,159,88
2,7,NimbusRomNo9L-Regu,,1,1
"six reﬂection grating modules developed by The Pennsylvania State Uni-
versity operated in the extreme off-plane mount",11,NimbusRomNo9L-Regu,,118,70
3,7,NimbusRomNo9L-Regu,,1,1
"and integrated into a grating assembly, and an",11,NimbusRomNo9L-Regu,,46,46
"array of four electron-multiplying CCDs (EM-CCDs) manufactured by e2v and integrated into a
detector assembly by XCAM Ltd. and The Open University.",11,NimbusRomNo9L-Regu,,147,91
4,7,NimbusRomNo9L-Regu,,1,1
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
5,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
M,17,Times-Roman,,1,1
I,6,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
9
4
7
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
1,11,NimbusRomNo9L-Regu,,1,1
Figure 1,9,NimbusRomNo9L-Medi,,8,8
The diffraction geometry of a reﬂection grating in the extreme off-plane mount.,9,NimbusRomNo9L-Regu,,79,79
"6, 7",6,NimbusRomNo9L-Regu,,4,4
"Light is incident from
point A onto the grating surface at a graze angle",9,NimbusRomNo9L-Regu,,72,49
η,9,CMMI10,,1,1
and relative to the groove direction by an angle,9,NimbusRomNo9L-Regu,,48,48
Ψ,9,CMR10,,1,1
". Equivalently,
this incidence geometry can be described in the spherical coordinate system by azimuth angle",9,NimbusRomNo9L-Regu,,108,92
α,9,CMMI10,,1,1
and polar angle,9,NimbusRomNo9L-Regu,,15,15
γ,9,CMMI10,,1,1
.,9,NimbusRomNo9L-Regu,,1,1
Diffraction follows the generalized grating equation (Eq. 1) and light is diffracted a distance,9,NimbusRomNo9L-Regu,,95,95
L,9,CMMI10,,1,1
to azimuth angle,9,NimbusRomNo9L-Regu,,16,16
β,9,CMMI10,,1,1
"on
the focal plane. The dispersion distance between the",9,NimbusRomNo9L-Regu,,55,52
n,9,CMMI10,,1,1
= 0,9,CMR10,,3,3
reﬂection and,9,NimbusRomNo9L-Regu,,13,13
n,9,CMMI10,,1,1
"-th diffraction order on this focal plane is
given by",9,NimbusRomNo9L-Regu,,53,44
x,9,CMMI10,,1,1
=,9,CMR10,,1,1
nλL/d,9,CMMI10,,5,5
.,9,NimbusRomNo9L-Regu,,1,1
1.1 Optical Design of the OGRE Spectrometer,11,NimbusRomNo9L-ReguItal,,43,43
The OGRE spectrometer employs the traditional three-component X-ray grating spectrometer de-,11,NimbusRomNo9L-Regu,,92,92
"sign consisting of an X-ray optic that focuses the incident light from Capella, a reﬂection grating
array that diffracts this light into its component spectrum, and an array of detectors at the focal
plane to sample the spectrum.",11,NimbusRomNo9L-Regu,,229,99
"The X-ray optic on board the OGRE spectrometer will be a mono-crystalline silicon X-ray optic
assembly developed by NASA GSFC.",11,NimbusRomNo9L-Regu,,126,93
2,7,NimbusRomNo9L-Regu,,1,1
The optic assembly will consist of twelve Wolter I-type,11,NimbusRomNo9L-Regu,,55,55
5,7,NimbusRomNo9L-Regu,,1,1
(paraboloid + hyperboloid) mirror shells with radii from,11,NimbusRomNo9L-Regu,,56,56
r,11,CMMI12,,1,1
0,7,CMR8,,1,1
= 162,11,CMR12,,5,5
.,11,CMMI12,,1,1
47,11,CMR12,,2,2
−,11,CMSY10,,1,1
191,11,CMR12,,3,3
.,11,CMMI12,,1,1
364,11,CMR12,,3,3
mm and a common,11,NimbusRomNo9L-Regu,,15,15
focal length of,11,NimbusRomNo9L-Regu,,15,15
Z,11,CMMI12,,1,1
0,7,CMR8,,1,1
= 3500,11,CMR12,,6,6
"mm. Each of these shells will be constructed from individual silicon
mirror segments that span 30° in azimuth. A more detailed description of this optic assembly can
be found in Donovan et al. (2019).",11,NimbusRomNo9L-Regu,,200,96
1,7,NimbusRomNo9L-Regu,,1,1
"The OGRE spectrometer will utilize reﬂection gratings operated in the extreme off-plane mount
to disperse the converging light from the OGRE optic assembly into its component spectrum.
Gratings in the extreme off-plane mount are oriented quasi-parallel to the groove direction and at
grazing incidence relative to the incident X-ray photons as depicted in Figure 1. Diffraction then
follows the generalized grating equation:",11,NimbusRomNo9L-Regu,,424,98
where,11,NimbusRomNo9L-Regu,,5,5
α,11,CMMI12,,1,1
"is the incident azimuthal angle,",11,NimbusRomNo9L-Regu,,32,32
β,11,CMMI12,,1,1
"is the diffracted azimuthal angle,",11,NimbusRomNo9L-Regu,,34,34
γ,11,CMMI12,,1,1
is the polar angle,11,NimbusRomNo9L-Regu,,18,18
sin,11,CMR12,,3,3
α,11,CMMI12,,1,1
+ sin,11,CMR12,,5,5
β,11,CMMI12,,1,1
=,11,CMR12,,1,1
"nλ
d",11,CMMI12,,4,2
sin,11,CMR12,,3,3
γ,11,CMMI12,,1,1
",",11,CMMI12,,1,1
(1),11,NimbusRomNo9L-Regu,,3,3
2,11,NimbusRomNo9L-Regu,,1,1
"between the incident light and the groove direction,",11,NimbusRomNo9L-Regu,,52,52
d,11,CMMI12,,1,1
"is the groove period,",11,NimbusRomNo9L-Regu,,21,21
n,11,CMMI12,,1,1
"is the diffraction
order, and",11,NimbusRomNo9L-Regu,,29,18
λ,11,CMMI12,,1,1
is the wavelength of the light.,11,NimbusRomNo9L-Regu,,31,31
8,7,NimbusRomNo9L-Regu,,1,1
By differentiating Eq. 1 with respect to,11,NimbusRomNo9L-Regu,,40,40
λ,11,CMMI12,,1,1
", it can be
shown that:",11,NimbusRomNo9L-Regu,,23,11
=,11,CMR12,,1,1
"dλ
dx",11,CMMI12,,5,2
10,11,CMR12,,2,2
7,7,CMR8,,1,1
nLD,11,CMMI12,,3,3
where,11,NimbusRomNo9L-Regu,,5,5
L,11,CMMI12,,1,1
"is the distance a photon on the grating travels to the spectrometer focal plane,",11,NimbusRomNo9L-Regu,,80,80
D,11,CMMI12,,1,1
"is the
groove density (",11,NimbusRomNo9L-Regu,,23,16
≡,11,CMSY10,,1,1
1,11,CMR12,,1,1
/d,11,CMMI12,,2,2
"), and",11,NimbusRomNo9L-Regu,,6,6
x,11,CMMI12,,1,1
is the distance a photon is diffracted from the,11,NimbusRomNo9L-Regu,,47,47
n,11,CMMI12,,1,1
= 0,11,CMR12,,3,3
"reﬂection
(",11,NimbusRomNo9L-Regu,,11,9
=,11,CMR12,,1,1
L,11,CMMI12,,1,1
sin,11,CMR12,,3,3
γ,11,CMMI12,,1,1
(sin,11,CMR12,,4,4
β,11,CMMI12,,1,1
