text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
,12,TimesNewRomanPSMT,,0,0
,12,TimesNewRomanPSMT,,0,0
,10,TimesNewRomanPSMT,,0,0
In Situ,16,Calibri-LightItalic,,7,7
"Geochronology for the Next Decade: Mission Designs for the 
Moon, Mars, and Vesta",16,Calibri-Light,,81,59
"Barbara A. Cohen,",10,TimesNewRomanPSMT,,17,17
"NASA Goddard Space Flight Center, Greenbelt MD",10,TimesNewRomanPS-ItalicMT,,46,46
"Kelsey E. Young,",10,TimesNewRomanPSMT,,16,16
"NASA Goddard Space Flight Center, Greenbelt MD",10,TimesNewRomanPS-ItalicMT,,46,46
"Nicolle E. B. Zellner,",10,TimesNewRomanPSMT,,22,22
"Albion College, Albion, MI",10,TimesNewRomanPS-ItalicMT,,26,26
"Kris Zacny,",10,TimesNewRomanPSMT,,11,11
"Honeybee Robotics, Pasadena CA",10,TimesNewRomanPS-ItalicMT,,30,30
"R. Aileen Yingst,",10,TimesNewRomanPSMT,,17,17
"Planetary Science Institute, Tucson AZ",10,TimesNewRomanPS-ItalicMT,,38,38
"Ryan N. Watkins,",10,TimesNewRomanPSMT,,16,16
"Planetary Science Institute, Tucson AZ",10,TimesNewRomanPS-ItalicMT,,38,38
"Richard Warwick,",10,TimesNewRomanPSMT,,16,16
"Lockheed Martin Engineering, Littleton, CO",10,TimesNewRomanPS-ItalicMT,,42,42
"Sarah N. Valencia,",10,TimesNewRomanPSMT,,18,18
"University of Maryland / NASA Goddard Space Flight Center, Greenbelt, MD",10,TimesNewRomanPS-ItalicMT,,72,72
"Timothy D. Swindle,",10,TimesNewRomanPSMT,,19,19
"Lunar and Planetary Laboratory, University of Arizona, Tucson AZ",10,TimesNewRomanPS-ItalicMT,,64,64
"Stuart J. Robbins,",10,TimesNewRomanPSMT,,18,18
"Southwest Research Institute, Boulder, CO",10,TimesNewRomanPS-ItalicMT,,41,41
,10,TimesNewRomanPSMT,,0,0
,10,TimesNewRomanPS-ItalicMT,,0,0
"Noah E. Petro,",10,TimesNewRomanPSMT,,14,14
"NASA Goddard Space Flight Center, Greenbelt MD",10,TimesNewRomanPS-ItalicMT,,46,46
"Anthony Nicoletti,",10,TimesNewRomanPSMT,,18,18
"NASA Goddard Space Flight Center, Greenbelt MD",10,TimesNewRomanPS-ItalicMT,,46,46
"Daniel P. Moriarty, III,",10,TimesNewRomanPSMT,,24,24
"University of Maryland / NASA Goddard Space Flight Center, Greenbelt, MD",10,TimesNewRomanPS-ItalicMT,,72,72
"Richard Lynch,",10,TimesNewRomanPSMT,,14,14
"NASA Goddard Space Flight Center, Greenbelt MD",10,TimesNewRomanPS-ItalicMT,,46,46
"Stephen J. Indyk,",10,TimesNewRomanPSMT,,17,17
"Honeybee Robotics, Pasadena CA",10,TimesNewRomanPS-ItalicMT,,30,30
"Juliane Gross,",10,TimesNewRomanPSMT,,14,14
"Rutgers University, Piscataway NJ",10,TimesNewRomanPS-ItalicMT,,33,33
"Jennifer A. Grier,",10,TimesNewRomanPSMT,,18,18
"Planetary Science Institute, Tucson AZ",10,TimesNewRomanPS-ItalicMT,,38,38
"John A. Grant,",10,TimesNewRomanPSMT,,14,14
"National Air and Space Museum, Smithsonian Institution, Washington, DC",10,TimesNewRomanPS-ItalicMT,,70,70
"Amani Ginyard,",10,TimesNewRomanPSMT,,14,14
"NASA Goddard Space Flight Center, Greenbelt MD",10,TimesNewRomanPS-ItalicMT,,46,46
"Caleb I. Fassett,",10,TimesNewRomanPSMT,,17,17
"NASA Marshall Space Flight Center, Huntsville, AL",10,TimesNewRomanPS-ItalicMT,,49,49
"Kenneth A. Farley,",10,TimesNewRomanPSMT,,18,18
"California Institute of Technology, Pasadena CA",10,TimesNewRomanPS-ItalicMT,,47,47
"Benjamin J. Farcy,",10,TimesNewRomanPSMT,,18,18
"University of Maryland, College Park, MD",10,TimesNewRomanPS-ItalicMT,,40,40
