text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
,11,Calibri,,0,0
Mining the SPARC Galaxy Database: Finding,14,Calibri,,41,41
“Hidden Variables”,14,Calibri,,18,18
in the Baryonic Tully-Fisher Relation,14,Calibri,,37,37
"Jeffrey M. La Fortune 
1081 N. Lake St. Neenah, WI 54956 forch2@gmail.com 
6 January 2021",11,Calibri,,89,51
,11,Calibri,,0,0
Abstract,11,Calibri-Italic,,8,8
"The Baryonic Tully-Fisher Relation (BTFR) links baryonic mass of rotationally supported galaxies to their 
flat disk velocities. A popular form of the BTFR linked to MOND is based on an empirically determined 
characteristic acceleration, a",11,Calibri,,240,106
0,6,Calibri,,1,1
"that serves as the constant of proportionality. In this work, we propose an 
alternative, parametric form of the BTFR employing individual galactic properties from the SPARC galaxy 
database. Based on this data we find that a precise mass-velocity correlation is possible taking into 
account galactic disk radius and two dynamical related properties; mass discrepancy and disk surface 
density. We find no need to invoke a characteristic acceleration constant although its ansatz can be 
extracted and compared to several recent analyses also arguing against the MOND interpretation of a",11,Calibri,,588,104
0,6,Calibri,,1,1
". 
This improved BTFR finding has ramifications for the Radial Acceleration Relation (RAR) as well. Rather 
than a universal relation that describes the dynamics of all rotationally-supported galaxies, we find the 
RAR consists of a statistically distributed family of curves, reflecting the unique properties attributed to 
individual galaxies.",11,Calibri,,345,109
Introduction,11,Calibri-Italic,,12,12
The Baryonic Tully-Fisher Relation (BTFR) relates the baryonic mass M,11,Calibri,,69,69
Bar,6,Calibri,,3,3
"with a galactic rotation velocity 
V",11,Calibri,,36,34
f,6,Calibri,,1,1
,11,Calibri,,0,0
,11,Cambria,,0,0
(or circular velocity V,11,Calibri,,23,23
C,6,Calibri,,1,1
") in the flat part of the curve. In the conventional form shown below, G = 
gravitational constant and a",11,Calibri,,104,75
0,6,Calibri,,1,1
=g,11,Calibri,,2,2
†,11,Calibri,,1,1
is an empirically derived,11,Calibri,,25,25
‘characteristic’ acceleration constant,11,Calibri,,38,38
". The 
BTFR is typically expressed as:",11,Calibri,,38,31
𝑉,11,CambriaMath,,1,1
𝑓,8,CambriaMath,,1,1
4,8,CambriaMath,,1,1
= 𝑎,11,CambriaMath,,3,3
0,8,CambriaMath,,1,1
𝐺𝑀,11,CambriaMath,,2,2
𝐵𝑎𝑟,8,CambriaMath,,3,3
𝑜𝑟 𝑉,11,CambriaMath,,4,4
𝐶,8,CambriaMath,,1,1
4,8,CambriaMath,,1,1
= 𝑔,11,CambriaMath,,3,3
†,8,CambriaMath,,1,1
𝐺𝑀,11,CambriaMath,,2,2
𝐵𝑎𝑟,8,CambriaMath,,3,3
,11,CambriaMath,,0,0
,11,Calibri,,0,0
2,6,Calibri,,1,1
/R and g,11,Calibri,,8,8
Bar,6,Calibri,,3,3
=GM,11,Calibri,,3,3
Bar,6,Calibri,,3,3
/R,11,Calibri,,2,2
2,6,Calibri,,1,1
", respectively. To maintain correct dimensionality, an",11,Calibri,,54,54
"The velocity exponent of four is derived from dynamic and baryonic acceleration components in the 
model via g",11,Calibri,,110,98
Obs,6,Calibri,,3,3
=(g,11,Calibri,,3,3
Dyn,6,Calibri,,3,3
)=V,11,Calibri,,3,3
C,6,Calibri,,1,1
acceleration term (a,11,Calibri,,20,20
0,6,Calibri,,1,1
or g,11,Calibri,,4,4
†,11,Calibri,,1,1
"as above) is required and is deemed a constant for all rotationally-supported 
galaxies. The left-hand equation has origins in the theory of MOdified Newtonian Dynamics (MOND) 
introduced by Milgrom as an alternative to dark matter to solve the galactic",11,Calibri,,253,97
‘missing mass’ problem,11,Calibri,,22,22
"(Milgrom 1983). The right-hand side equation is a variation of MOND, differing in nomenclature, but",11,Calibri,,99,99
"consistent in practice and results (McGaugh 2012) (McGaugh 2015). Both equations share the same 
characteristic (universal or critical) acceleration value a",11,Calibri,,156,96
0,6,Calibri,,1,1
= g,11,Calibri,,3,3
†=1.2x10,11,Calibri,,8,8
-10,6,Calibri,,3,3
ms,11,Calibri,,2,2
-2,6,Calibri,,2,2
"as established from 
empirical fits demonstrating a tight correlation with low intrinsic scatter. For simplicity, we refer to both 
above",11,Calibri,,137,110
forms of the BFTR as the “MOND” relation as to distinguish it from the proposed ‘scaling’ version,11,Calibri,,97,97
"described in this work. 

It is believed a",11,Calibri,,42,24
0,6,Calibri,,1,1
"may represent a fundamental constant of nature, one that is only revealed at galactic 
scales and in the regime of low gravitational accelerations. From galactic observations and per the above 
equation, the historically recognized correlation between disk flat rotation velocity and baryonic mass",11,Calibri,,297,106
"leads to the proposition that a modified gravity law may explain the phenomenology without requiring 
dark matter (Lelli 2016a). The fit has been so successful in its predictive qualities that it has been 
deemed a new",11,Calibri,,218,103
‘,11,Calibri,,1,1
natural l,11,Calibri,,9,9
aw’,11,Calibri,,3,3
by its adherents (Lelli 2017).,11,Calibri,,30,30
,11,Calibri,,0,0
1,11,Calibri,,1,1
,11,Calibri,,0,0
,11,Calibri,,0,0
,11,Calibri,,0,0
"Within the scaling model, we treat galactic disks as compact finite entities with defined radii equal to the 
physically observed HI gas disk. In this treatment, disks have flat circular velocities (V",11,Calibri,,200,109
f,6,Calibri,,1,1
") to the observed 
edges. Beyond these edges, the rotation velocity breaks into a conventional Keplerian decline following 
1/",11,Calibri,,126,104
√,11,Calibri,,1,1
"r. The combined effect of baryons and their dynamical properties characterize a globalized dynamical 
mass that is constrained within each galactic disk. This is in contrast to MOND where the flat velocity as 
measured within the disk is thought to continue to indefinite radii with an asymptotic value that only 
depends",11,Calibri,,321,107
on a galaxy’s baryonic mass content M,11,Calibri,,37,37
Bar,6,Calibri,,3,3
in violation of Newtonian dynamics.,11,Calibri,,35,35
A Parameterized Model for the BFTR,11,Calibri-Italic,,34,34
"In a recent publication, a novel semi-empirical version of the BTFR had been proposed based on the 
dynamical properties of galactic disks (La Fortune 2019). A subsequent work demonstrated that the 
BFTR could be reformulated by introducing two supplementary parameters related to the structure and 
dynamics of individual galaxies based on dimensional and Buckingham/Pi analyses (La Fortune 2020a). 

The scaling",11,Calibri,,413,100
approach differs from most models by specifying the disk’s edge as,11,Calibri,,66,66
"the physical distance 
from the galactic center from which measured flat rotation V",11,Calibri,,83,60
f,6,Calibri,,1,1
,11,Calibri,,0,0
“breaks”,11,Calibri,,8,8
"into a conventional Keplerian 
decline and requires use of HI gas radii as provided for most galaxies in the SPARC database. This break-
point in the dynamic has been observed in a recent analysis of the Milky Way satellite galaxy population 
obtained by Gaia (Fritz 2018). Using 3-D satellite velocities, a robust Keplerian decline has been mapped 
throughout the satellite galaxy sample from 20 to 420 kpc (La Fortune 2020b). This trend is global with 
the majority of satellites bound within a narrow mass discrepancy window spanning D=5.9 to 12.1 and 
strongly suggests a point-mass Newtonian potential governing the entire satellite system. We note that 
this interpretation is in conflict with modified gravity and the",11,Calibri,,724,106
Λ,11,Calibri,,1,1
"CDM cosmological NFW halo 
expectations but cannot be argued as a principle dynamical characteristic for the Milky Way and by 
extension, all rotationally-supported galaxies in the SPARC database. 

With above constraint in mind, we introduce two parameters that allow the BTFR to be revised to 
account for unique structural characteristics specific to each galaxy of interest. These parameters are 
not new and have been employed extensively in past publications. 

The first parameter of interest is galactic mass discrepancy D=M",11,Calibri,,532,104
Dyn,6,Calibri,,3,3
/M,11,Calibri,,2,2
Bar,6,Calibri,,3,3
or equivalently D=V,11,Calibri,,19,19
Dyn,6,Calibri,,3,3
Mass discrepancy is the ratio of the,11,Calibri,,36,36
‘missing,11,Calibri,,8,8
mass,11,Calibri,,4,4
’ to,11,Calibri,,4,4
"that of the baryons as measured at the disk outer 
edge, R",11,Calibri,,58,50
D,6,Calibri,,1,1
. R,11,Calibri,,3,3
D,6,Calibri,,1,1
,11,Calibri,,0,0
is the “terminal radius” where HI gas disk surface density falls to,11,Calibri,,67,67
,11,Calibri,,0,0
≈1M,11,Calibri,,3,3
ʘ,6,Calibri,,1,1
pc,11,Calibri,,2,2
-2,6,Calibri,,2,2
"and demarcates 
the break-point radius separating the disk dynamic from the surrounding Keplerian decline. It is this key 
feature that differentiates the scaling model from the others. Dynamic mass M",11,Calibri,,200,106
Dyn,6,Calibri,,3,3
(often loosely termed,11,Calibri,,21,21
M,11,Calibri,,1,1
Obs,6,Calibri,,3,3
or M,11,Calibri,,4,4
Total,6,Calibri,,5,5
) is a function of circular velocity and disk radius,11,Calibri,,52,52
per Newton’s laws of circular motion:,11,Calibri,,37,37
2,6,Calibri,,1,1
R,11,Calibri,,1,1
