text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"Draft version August 4, 2021",7,CMCSC10,,28,28
Typeset using L,7,CMR8,,15,15
A,5,CMR6,,1,1
TEX,7,CMR8,,3,3
twocolumn,7,CMBX8,,9,9
style in AASTeX63,7,CMR8,,17,17
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
"g
u",10,Times-Roman,,3,1
A,14,Times-Roman,,1,1
,5,Times-Roman,,0,0
3,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"2
v
3
1
0
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
"VLT Spectroscopy of Ultra-Faint Dwarf Galaxies. 1. Bo¨otes I, Leo IV, Leo V",9,CMBX10,,75,75
"Sydney Jenkins,",8,CMCSC10,,15,15
1,5,CMCSC10,,1,1
"Ting S. Li,",8,CMCSC10,,11,11
"2, 3, 4,",5,CMCSC10,,8,8
∗,5,CMSY6,,1,1
"Andrew B. Pace,",8,CMCSC10,,15,15
5,5,CMCSC10,,1,1
"Alexander P. Ji,",8,CMCSC10,,16,16
2,5,CMCSC10,,1,1
"Sergey E. Koposov,",8,CMCSC10,,18,18
"6, 7",5,CMCSC10,,4,4
"and
Burc¸˙ın Mutlu-Pakd˙ıl",8,CMCSC10,,26,22
"8, 9",5,CMCSC10,,4,4
1,5,CMR6,,1,1
"Department of Physics, University of Chicago, Chicago, IL 60637, USA",7,CMTI8,,68,68
2,5,CMR6,,1,1
"Observatories of the Carnegie Institution for Science, 813 Santa Barbara St., Pasadena, CA 91101, USA",7,CMTI8,,101,101
3,5,CMR6,,1,1
"Department of Astrophysical Sciences, Princeton University, Princeton, NJ 08544, USA",7,CMTI8,,84,84
4,5,CMR6,,1,1
"Department of Astronomy and Astrophysics, University of Toronto, 50 St. George Street, Toronto ON, M5S 3H4, Canada",7,CMTI8,,114,114
5,5,CMR6,,1,1
"McWilliams Center for Cosmology, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA 15213, USA",7,CMTI8,,103,103
6,5,CMR6,,1,1
"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",7,CMTI8,,106,106
7,5,CMR6,,1,1
"Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK",7,CMTI8,,86,86
8,5,CMR6,,1,1
"Kavli Institute for Cosmological Physics, University of Chicago, Chicago, IL 60637, USA",7,CMTI8,,87,87
9,5,CMR6,,1,1
"Department of Astronomy and Astrophysics, University of Chicago, Chicago, IL 60637, USA",7,CMTI8,,87,87
(Received ?; Revised ?; Accepted ?),8,CMR9,,35,35
Submitted to The Astrophysical Journal,9,CMR10,,38,38
ABSTRACT,9,CMR10,,8,8
"We perform consistent reductions and measurements for three ultra-faint dwarf galaxies (UFDs):
Bo¨otes I, Leo IV and Leo V. Using the public archival data from the GIRAFFE spectrograph on the
Very Large Telescope (VLT), we locate new members and provide reﬁned measurements of physical
parameters for these dwarf galaxies. We identify nine new Leo IV members and four new Leo V
members, and perform a comparative analysis of previously discovered members. Additionally, we
identify one new binary star in both Leo IV and Leo V. After removing binary stars, we recalculate
the velocity dispersions of Bo¨otes I and Leo IV to be 5.1",9,CMR10,,630,98
+0,6,CMR7,,2,2
.,6,CMMI7,,1,1
7,6,CMR7,,1,1
−,6,CMSY7,,1,1
0,6,CMR7,,1,1
.,6,CMMI7,,1,1
9,6,CMR7,,1,1
km s,9,CMR10,,4,4
−,6,CMSY7,,1,1
1,6,CMR7,,1,1
", respectively; We
do not resolve the Leo V velocity dispersion. We identify a weak velocity gradient in Leo V that
is",9,CMR10,,118,96
∼,9,CMSY10,,1,1
4,9,CMR10,,1,1
×,9,CMSY10,,1,1
"smaller than the previously calculated gradient and that has a corresponding position angle
which diﬀers from the literature value by",9,CMR10,,133,91
∼,9,CMSY10,,1,1
