text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
J. Astrophys. Astr.,8,NimbusRomNo9L-ReguItal,,19,19
(0000),8,NimbusRomNo9L-Regu,,6,6
000,8,NimbusRomNo9L-Medi,,3,3
": ####
DOI",8,NimbusRomNo9L-Regu,,10,6
Science with the,15,NimbusRomNo9L-Medi,,16,16
AstroSat,15,NimbusRomNo9L-MediItal,,8,8
Soft X-ray Telescope: an overview,15,NimbusRomNo9L-Medi,,33,33
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
3,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
E,12,Times-Roman,,1,1
H,14,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
6
9
6
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Sudip Bhattacharyya,11,NimbusRomNo9L-Regu,,19,19
"1,*",7,NimbusRomNo9L-Regu,,3,3
", Kulinder Pal Singh",11,NimbusRomNo9L-Regu,,20,20
2,7,NimbusRomNo9L-Regu,,1,1
", Gordon Stewart",11,NimbusRomNo9L-Regu,,16,16
3,7,NimbusRomNo9L-Regu,,1,1
", Sunil Chandra",11,NimbusRomNo9L-Regu,,15,15
4,7,NimbusRomNo9L-Regu,,1,1
", Gulab C.
Dewangan",11,NimbusRomNo9L-Regu,,19,10
5,7,NimbusRomNo9L-Regu,,1,1
", Nilima S. Kamble",11,NimbusRomNo9L-Regu,,18,18
1,7,NimbusRomNo9L-Regu,,1,1
", Sandeep Vishwakarma",11,NimbusRomNo9L-Regu,,21,21
1,7,NimbusRomNo9L-Regu,,1,1
", Jayprakash G. Koyande",11,NimbusRomNo9L-Regu,,23,23
1,7,NimbusRomNo9L-Regu,,1,1
"and Varsha
Chitnis",11,NimbusRomNo9L-Regu,,18,10
6,7,NimbusRomNo9L-Regu,,1,1
1,6,NimbusRomNo9L-Regu,,1,1
"Department of Astronomy and Astrophysics, Tata Institute of Fundamental Research, 1 Homi Bhabha Road,
Mumbai 400005, India.",9,NimbusRomNo9L-Regu,,123,101
2,6,NimbusRomNo9L-Regu,,1,1
"Indian institute of Science Education and Research Mohali, Sector 81, SAS Nagar, Manauli PO, 140306, India.",9,NimbusRomNo9L-Regu,,107,107
3,6,NimbusRomNo9L-Regu,,1,1
"Department of Physics and Astronomy, The University of Leicester, University Road, Leicester LE1 7RH, UK.",9,NimbusRomNo9L-Regu,,105,105
4,6,NimbusRomNo9L-Regu,,1,1
"Centre for Space Research, North-West University, Potchefstroom 2520, South Africa.",9,NimbusRomNo9L-Regu,,83,83
5,6,NimbusRomNo9L-Regu,,1,1
"Inter-University Centre for Astronomy and Astrophysics (IUCAA), PB No. 4, Ganeshkhind, Pune 411007, India.",9,NimbusRomNo9L-Regu,,106,106
6,6,NimbusRomNo9L-Regu,,1,1
"Department of High Energy Physics, Tata Institute of Fundamental Research, 1 Homi Bhabha Road, Mumbai
400005, India.",9,NimbusRomNo9L-Regu,,116,101
*,6,NimbusRomNo9L-Regu,,1,1
Corresponding author. E-mail: sudip@tifr.res.in,9,NimbusRomNo9L-Regu,,47,47
MS received 06 November 2020; accepted 04 December 2020,9,NimbusRomNo9L-Regu,,55,55
Abstract.,9,NimbusRomNo9L-Medi,,9,9
The Soft X-ray Telescope (SXT) aboard the,9,NimbusRomNo9L-Regu,,41,41
AstroSat,9,NimbusRomNo9L-ReguItal,,8,8
"satellite is the ﬁrst Indian X-ray telescope in
space. It is a modest size X-ray telescope with a charge coupled device (CCD) camera in the focal plane, which
provides X-ray images in the",9,NimbusRomNo9L-Regu,,187,110
∼,9,txsy,,1,1
