text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
Astronomy,9,NimbusRomNo9L-Regu-Slant_167,,9,9
&,9,rtxr-Slant_167,,1,1
Astrophysics,9,NimbusRomNo9L-Regu-Slant_167,,12,12
"manuscript no. dwarfs-poly
January 26, 2021",9,NimbusRomNo9L-Regu,,43,26
©,9,rtcxr,,1,1
ESO 2021,9,NimbusRomNo9L-Regu,,8,8
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
"5
2",10,Times-Roman,,3,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
O,14,Times-Roman,,1,1
C,13,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"2
v
1
9
8
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1",10,Times-Roman,,5,1
2,10,Times-Roman,,1,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Polytropic spheres modelling dark matter haloes of dwarf galaxies,16,NimbusSanL-Bold,,65,65
Jan Novotný,10,NimbusRomNo9L-Regu,,11,11
1,7,NimbusRomNo9L-Regu,,1,1
", Zdenˇek Stuchlík",10,NimbusRomNo9L-Regu,,18,18
1,7,NimbusRomNo9L-Regu,,1,1
and Jan Hladík,10,NimbusRomNo9L-Regu,,14,14
1,7,NimbusRomNo9L-Regu,,1,1
"Research Centre for Theoretical Physics and Astrophysics, Institute of Physics, Silesian University in Opava, Bezruˇcovo nám. 13,
CZ-746 01 Opava, Czech Republic",8,NimbusRomNo9L-Regu,,161,129
"Received August 19, 2020; accepted –",8,NimbusRomNo9L-Regu,,36,36
ABSTRACT,8,NimbusSanL-Bold,,8,8
Context.,8,NimbusSanL-Regu-Slant_167,,8,8
Dwarf galaxies and their dark matter (DM) haloes have velocity curves of a di,8,NimbusRomNo9L-Regu,,77,77
ﬀ,8,rtxr,,1,1
"erent character than those in large galaxies.
These velocity curves are modelled by a simple pseudo-isothermal model containing only two parameters, which do not give us
insight into the physics of the DM halo.",8,NimbusRomNo9L-Regu,,210,123
Aims.,8,NimbusSanL-Regu-Slant_167,,5,5
"We seek to obtain some insight into the physical conditions in DM haloes of dwarf galaxies by using a simple physically based
model of DM haloes.",8,NimbusRomNo9L-Regu,,145,125
