text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
Astronomy,9,NimbusRomNo9L-Regu-Slant_167,,9,9
&,9,rtxr-Slant_167,,1,1
Astrophysics,9,NimbusRomNo9L-Regu-Slant_167,,12,12
"manuscript no. aa_sulfur_bar_accepted
February 12, 2021",9,NimbusRomNo9L-Regu,,55,37
©,9,rtcxr,,1,1
ESO 2021,9,NimbusRomNo9L-Regu,,8,8
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
b,10,Times-Roman,,1,1
e,8,Times-Roman,,1,1
F,11,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
1",10,Times-Roman,,3,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"2
v
2
1
0
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1",10,Times-Roman,,5,1
2,10,Times-Roman,,1,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Bottlenecks to interstellar sulfur chemistry,16,NimbusSanL-Bold,,44,44
Sulfur-bearing hydrides in UV-illuminated gas and grains,13,NimbusSanL-Bold,,56,56
J. R. Goicoechea,10,NimbusRomNo9L-Regu,,16,16
1,7,NimbusRomNo9L-Regu,,1,1
", A. Aguado",10,NimbusRomNo9L-Regu,,11,11
2,7,NimbusRomNo9L-Regu,,1,1
", S. Cuadrado",10,NimbusRomNo9L-Regu,,13,13
1,7,NimbusRomNo9L-Regu,,1,1
", O. Roncero",10,NimbusRomNo9L-Regu,,12,12
1,7,NimbusRomNo9L-Regu,,1,1
", J. Pety",10,NimbusRomNo9L-Regu,,9,9
3,7,NimbusRomNo9L-Regu,,1,1
", E. Bron",10,NimbusRomNo9L-Regu,,9,9
4,7,NimbusRomNo9L-Regu,,1,1
",
A. Fuente",10,NimbusRomNo9L-Regu,,11,9
5,7,NimbusRomNo9L-Regu,,1,1
", D. Riquelme",10,NimbusRomNo9L-Regu,,13,13
6,7,NimbusRomNo9L-Regu,,1,1
", E. Chapillon",10,NimbusRomNo9L-Regu,,14,14
3,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
7,7,NimbusRomNo9L-Regu,,1,1
", C. Herrera",10,NimbusRomNo9L-Regu,,12,12
3,7,NimbusRomNo9L-Regu,,1,1
