text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
Astronomy,9,NimbusRomNo9L-Regu-Slant_167,,9,9
&,9,rtxr-Slant_167,,1,1
Astrophysics,9,NimbusRomNo9L-Regu-Slant_167,,12,12
"manuscript no. obscuration_ﬁnal
January 5, 2021",9,NimbusRomNo9L-Regu,,47,31
©,9,rtcxr,,1,1
ESO 2021,9,NimbusRomNo9L-Regu,,8,8
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
3,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
4
2
7
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
The relation between AGN type and host galaxy properties,16,NimbusSanL-Bold,,56,56
V. A. Masoura,10,NimbusRomNo9L-Regu,,13,13
1,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
2,7,NimbusRomNo9L-Regu,,1,1
", G. Mountrichas",10,NimbusRomNo9L-Regu,,16,16
3,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
1,7,NimbusRomNo9L-Regu,,1,1
", I. Georgantopoulos",10,NimbusRomNo9L-Regu,,20,20
1,7,NimbusRomNo9L-Regu,,1,1
", M. Plionis",10,NimbusRomNo9L-Regu,,12,12
1,7,NimbusRomNo9L-Regu,,1,1
",",7,rtxmi,,1,1
2,7,NimbusRomNo9L-Regu,,1,1
1,5,NimbusRomNo9L-Regu,,1,1
"National Observatory of Athens, V. Paulou & I. Metaxa, 15 236 Penteli, Greece e-mail:",8,NimbusRomNo9L-Regu,,85,85
vassi.lia.mas@gmail.com,8,t1xtt,,23,23
2,5,NimbusRomNo9L-Regu,,1,1
"Section of Astrophysics, Astronomy and Mechanics, Department of Physics, Aristotle University of Thessaloniki, 54 124, Thessa-",8,NimbusRomNo9L-Regu,,126,126
3,5,NimbusRomNo9L-Regu,,1,1
"Instituto de Fisica de Cantabria (CSIC-Universidad de Cantabria), Avenida de los Castros, 39005 Santander, Spain",8,NimbusRomNo9L-Regu,,112,112
