text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"0
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
"c
e",8,Times-Roman,,3,1
D,14,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
3",10,Times-Roman,,3,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
O,14,Times-Roman,,1,1
C,13,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
3
1
1
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1",10,Times-Roman,,5,1
2,10,Times-Roman,,1,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
"Cosmological inference from emulator based halo model I: Validation tests with HSC
and SDSS mock catalogs",11,CMBX12,,105,82
"Hironao Miyatake,",9,CMR10,,17,17
"1, 2, 3,",6,CMR7,,8,8
∗,6,CMSY7,,1,1
"Yosuke Kobayashi,",9,CMR10,,17,17
"3, 4",6,CMR7,,4,4
"Masahiro Takada,",9,CMR10,,16,16
"3,",6,CMR7,,2,2
†,6,CMSY7,,1,1
"Takahiro Nishimichi,",9,CMR10,,20,20
"5, 3",6,CMR7,,4,4
"Masato Shirasaki,",9,CMR10,,17,17
"6, 7",6,CMR7,,4,4
"Sunao Sugiyama,",9,CMR10,,15,15
"3, 4",6,CMR7,,4,4
"Ryuichi Takahashi,",9,CMR10,,18,18
8,6,CMR7,,1,1
"Ken Osato,",9,CMR10,,10,10
9,6,CMR7,,1,1
"Surhud More,",9,CMR10,,12,12
"10, 3",6,CMR7,,5,5
and Youngsoo Park,9,CMR10,,17,17
3,6,CMR7,,1,1
1,5,CMR6,,1,1
"Institute for Advanced Research, Nagoya University, Nagoya 464-8601, Japan",8,CMTI9,,74,74
2,5,CMR6,,1,1
"Division of Particle and Astrophysical Science, Graduate School of Science, Nagoya University, Nagoya 464-8602, Japan",8,CMTI9,,117,117
3,5,CMR6,,1,1
"Kavli Institute for the Physics and Mathematics of the Universe (WPI),
The University of Tokyo Institutes for Advanced Study (UTIAS),
The University of Tokyo, Chiba 277-8583, Japan",8,CMTI9,,180,70
4,5,CMR6,,1,1
"Physics Department, The University of Tokyo, Bunkyo, Tokyo 113-0031, Japan",8,CMTI9,,74,74
5,5,CMR6,,1,1
"Center for Gravitational Physics, Yukawa Institute for Theoretical Physics, Kyoto University, Kyoto 606-8502, Japan",8,CMTI9,,115,115
6,5,CMR6,,1,1
"National Astronomical Observatory of Japan, Mitaka, Tokyo 181-8588, Japan",8,CMTI9,,73,73
7,5,CMR6,,1,1
"The Institute of Statistical Mathematics, Tachikawa, Tokyo 190-8562, Japan",8,CMTI9,,74,74
8,5,CMR6,,1,1
"Faculty of Science and Technology, Hirosaki University,
3 Bunkyo-cho, Hirosaki, Aomori 036-8561, Japan",8,CMTI9,,102,55
9,5,CMR6,,1,1
"Institut d’Astrophysique de Paris, Sorbonne Universit´e, CNRS,
UMR 7095, 98bis boulevard Arago, 75014 Paris, France",8,CMTI9,,115,62
10,5,CMR6,,2,2
"The Inter-University Centre for Astronomy and Astrophysics, Post bag 4, Ganeshkhind, Pune 411007, India",8,CMTI9,,103,103
"(Dated: January 5, 2021)",8,CMR9,,24,24
"We present validation tests of emulator-based halo model method for cosmological parameter
inference, assuming hypothetical measurements of the projected correlation function of galaxies,",8,CMR9,,187,96
w,8,CMMI9,,1,1
p,5,CMR6,,1,1
(,8,CMR9,,1,1
R,8,CMMI9,,1,1
"), and the galaxy-galaxy weak lensing, ∆Σ(",8,CMR9,,42,42
R,8,CMMI9,,1,1
"), from the spectroscopic SDSS galaxies and the
Hyper Suprime-Cam Year1 (HSC-Y1) galaxies. To do this, we use",8,CMR9,,109,61
Dark Emulator,8,CMCSC10,,13,13
"developed
in Nishimichi",8,CMR9,,23,13
et al.,8,CMTI9,,6,6
based on an ensemble of,8,CMR9,,23,23
N,8,CMMI9,,1,1
"-body simulations, which is an emulation pack-
age enabling a fast, accurate computation of halo clustering quantities (halo mass function, halo
auto-correlation and halo-matter cross-correlation) for ﬂat-geometry cold dark matter cosmologies.
Adopting the halo occupation distribution, the emulator allows us to obtain model predictions of ∆Σ
and",8,CMR9,,347,99
w,8,CMMI9,,1,1
p,5,CMR6,,1,1
"for the SDSS-like galaxies at a few CPU seconds for an input set of parameters. We present
performance and validation of the method by carrying out Markov Chain Monte Carlo analyses of
the mock signals measured from a variety of mock catalogs that mimic the SDSS and HSC-Y1 galax-
ies. We show that the halo model method can recover the underlying true cosmological parameters
to within the 68% credible interval, except for the mocks including the assembly bias eﬀect (although
we consider the unrealistically-large amplitude of assembly bias eﬀect). Even for the assembly bias
mock, we demonstrate that the cosmological parameters can be recovered",8,CMR9,,649,101
if,8,CMTI9,,2,2
"the analysis is restricted
to scales",8,CMR9,,36,26
R,8,CMMI9,,1,1
,8,MSAM10,,0,0
10,8,CMR9,,2,2
h,8,CMMI9,,1,1
−,5,CMSY6,,1,1
1,5,CMR6,,1,1
"Mpc (i.e., if the information on the average mass of halos hosting SDSS galaxies
inherent in the 1-halo term of ∆Σ is not included). We also show that, by using a single population
of source galaxies to infer the relative strengths of ∆Σ for multiple lens samples at diﬀerent redshifts,
the joint probes method allows for self-calibration of photometric redshift errors and multiplicative
shear bias. Thus we conclude that the emulator-based halo model method can be safely applied
to the HSC-Y1 dataset, achieving a precision of",8,CMR9,,529,105
σ,8,CMMI9,,1,1
(,8,CMR9,,1,1
S,8,CMMI9,,1,1
8,5,CMR6,,1,1
),8,CMR9,,1,1
,8,CMSY9,,0,0
0,8,CMR9,,1,1
.,8,CMMI9,,1,1
"04 after marginalization over nuisance
parameters such as the halo-galaxy connection parameters and the photo-",8,CMR9,,110,71
z,8,CMMI9,,1,1
"error parameter, and
our method is complementary to methods based on perturbation theory.",8,CMR9,,89,68
I.,8,CMBX9,,2,2
INTRODUCTION,8,CMBX9,,12,12
"Wide-area imaging galaxy surveys oﬀer exciting op-
portunities to address the fundamental questions in cos-
mology such as the nature of dark matter and the origin
of cosmic acceleration [1]. The current-generation imag-
ing surveys such as the Subaru Hyper Suprime-Cam [2]
[HSC 3–5], the Dark Energy Survey [6] [DES 7], and the
Kilo-Degree Survey [KiDS 8] have succeeded in using ac-
curate measurements of weak gravitational lensing eﬀects",9,CMR10,,441,56
to obtain tight constraints on cosmological parameters.,9,CMR10,,55,55
∗,5,CMSY6,,1,1
hironao.miyatake@iar.nagoya-u.ac.jp,7,CMR8,,35,35
†,5,CMSY6,,1,1
masahiro.takada@ipmu.jp,7,CMR8,,23,23
