text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
y,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
M,17,Times-Roman,,1,1
,5,Times-Roman,,0,0
6,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
c,8,Times-Roman,,1,1
q,10,Times-Roman,,1,1
"-
r",6,Times-Roman,,3,1
g,10,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"4
v
8
8
1
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Rapid and Robust Parameter Inference for Binary Mergers,11,CMBX12,,55,55
Neil J. Cornish,9,CMR10,,15,15
"eXtreme Gravity Institute, Department of Physics,
Montana State University, Bozeman, Montana 59717, USA",8,CMTI9,,103,53
"The detection rate for compact binary mergers has grown as the sensitivity of the global network
of ground based gravitational wave detectors has improved, now reaching the stage where robust
automation of the analyses is essential. Automated low-latency algorithms have been developed
that send out alerts when candidate signals are detected. The alerts include sky maps to facilitate
electromagnetic follow up observations, along with probabilities that the system might contain a
neutron star, and hence be more likely to generate an electromagnetic counterpart. Data quality is-
sues, such as loud noise transients (glitches), can adversely aﬀect the low-latency algorithms, causing
false alarms and throwing oﬀ parameter estimation. Here a new analysis method is presented that is
robust against glitches, and capable of producing fully Bayesian parameter inference, including sky
maps and mass estimates, in a matter of minutes. Key elements of the method are wavelet-based
de-noising, penalized maximization of the likelihood during the initial search, rapid sky localization
using pre-computed inner products, and heterodyned likelihoods for full Bayesian inference.",8,CMR9,,1174,103
I.,8,CMBX9,,2,2
INTRODUCTION,8,CMBX9,,12,12
