text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
Prepared for submission to JCAP,9,SFCC1000,,31,31
"GW190521 formation scenarios via
relativistic accretion",24,SFSX2488,,55,32
"Alejandro Cruz-Osorio,",14,SFSX1440,,22,22
"a,",9,CMMI10,,2,2
1,9,CMR10,,1,1
Fabio D. Lora-Clavijo,14,SFSX1440,,21,21
"b,",9,CMMI10,,2,2
2,9,CMR10,,1,1
"and Carlos
Herdeiro",14,SFSX1440,,19,10
"c,",9,CMMI10,,2,2
3,9,CMR10,,1,1
a,7,CMMI8,,1,1
"Institut für Theoretische Physik, Goethe Universität, Max-von-Laue-Straße 1, 60438 Frank-
furt, Germany",10,SFRM1095,,103,89
b,7,CMMI8,,1,1
"Grupo de Investigación en Relatividad y Gravitación, Escuela de Física, Universidad Indus-
trial de Santander A. A. 678, Bucaramanga 680002, Colombia",10,SFRM1095,,149,90
c,7,CMMI8,,1,1
"Departamento de Matemática da Universidade de Aveiro and CIDMA, Campus de Santiago,",10,SFRM1095,,83,83
"3810-183 Aveiro, Portugal",10,SFRM1095,,25,25
"E-mail: osorio@itp.uni-frankfurt.de, fadulora@uis.edu.co, herdeiro@ua.pt",10,SFRM1095,,72,72
Abstract.,11,SFSX1200,,9,9
"The recent gravitational wave transient GW190521 has been interpreted by the
LIGO-Virgo collaboration (LVC) as sourced by a binary black hole (BH) merger. According
to the LVC parameter estimation, at least one of these progenitors falls into the so-called
pair-instability supernova mass gap. This raises the important question of how and when
these progenitors",10,SFRM1095,,362,91
formed,10,SFTI1095,,6,6
".
In this paper we use an accretion model with super-Eddington
mass accretion rate obtained from General Relativity hydrodynamics simulations to analyse
the scenario wherein the GW190521 original progenitors (OPs) formed at lower masses (and
spins) and grew to their estimated LVC parameters by relativistic accretion. We consider that
the environment wherein the binary is immersed has density gradients as well as a dependence
on the Mach number of the gas. Taking the LVC parameter estimation at",10,SFRM1095,,498,93
z,10,CMMI10,,1,1
= 0,10,CMR10,,3,3
.,10,CMMI10,,1,1
82,10,CMR10,,2,2
"as the
endpoint of the accretion evolution, we estimate the initial masses and spins of the OPs at
three diﬀerent red-shifts",10,SFRM1095,,124,91
z,10,CMMI10,,1,1
= 100,10,CMR10,,5,5
",",10,CMMI10,,1,1
50,10,CMR10,,2,2
", and",10,SFRM1095,,5,5
20,10,CMR10,,2,2
. We found three distinct possible types of OPs:,10,SFRM1095,,48,48
2,7,CMR8,,1,1
) primordial,10,SFRM1095,,12,12
(,10,CMR10,,1,1
i,10,CMMI10,,1,1
) 10,10,CMR10,,4,4
−,7,CMSY8,,1,1
slowly rotating (,10,SFRM1095,,17,17
10,10,CMR10,,2,2
−,7,CMSY8,,1,1
BHs;,10,SFRM1095,,4,4
(,10,CMR10,,1,1
ii,10,CMMI10,,2,2
) 3,10,CMR10,,3,3
M,10,CMMI10,,1,1
2,7,CMR8,,1,1
< a,10,CMMI10,,3,3
,7,CMMI8,,0,0
<,10,CMMI10,,1,1
0,10,CMR10,,1,1
.,10,CMMI10,,1,1
5,10,CMR10,,1,1
) stellar mass BHs;,10,SFRM1095,,19,19
(,10,CMR10,,1,1
iii,10,CMMI10,,3,3
) 40,10,CMR10,,4,4
M,10,CMMI10,,1,1
,7,CMSY8,,0,0
0,10,CMR10,,1,1
.,10,CMMI10,,1,1
5,10,CMR10,,1,1
", which could originate from the collapse of high
BHs with a moderate spin parameter",10,SFRM1095,,84,49
a,10,CMMI10,,1,1
,7,CMMI8,,0,0
∼,10,CMSY10,,1,1
"mass Pop III stars. The mass spread is due to varying the density gradient and the relativistic
Mach number of the cosmic plasma; the variation of the masses due to the origin at diﬀerent
red-shifts, on the other hand, is negligible,",10,SFRM1095,,233,95
2%,10,CMR10,,2,2
". For high Mach number scenarios, the BHs
have low mass and spin accretion rates, leading to OPs with masses and spins close to the
GW190521 LVC estimated values. We have also compared our results with previous studies
where the Newtonian accretion model was used, ﬁnding relativistic corrections of",10,SFRM1095,,299,89
13%,10,CMR10,,3,3
